,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.313,0.29,0.434,0.349,0.302,0.333,0.371,0.271
1,0.306,0.292,0.427,0.349,0.344,0.317,0.38,0.224
2,0.31,0.292,0.41,0.417,0.381,0.305,0.383,0.251
3,0.314,0.292,0.411,0.404,0.414,0.277,0.372,0.267
4,0.311,0.292,0.402,0.383,0.414,0.269,0.354,0.217
5,0.314,0.291,0.43,0.341,0.37,0.309,0.333,0.237
6,0.309,0.29,0.444,0.374,0.402,0.272,0.362,0.21
7,0.315,0.289,0.435,0.382,0.375,0.295,0.343,0.223
8,0.315,0.29,0.428,0.372,0.363,0.284,0.326,0.271
9,0.311,0.288,0.444,0.397,0.396,0.28,0.36,0.218
10,0.326,0.29,0.435,0.453,0.349,0.309,0.332,0.211
11,0.317,0.29,0.45,0.406,0.379,0.294,0.359,0.288
12,0.313,0.287,0.445,0.387,0.375,0.305,0.359,0.193
13,0.303,0.289,0.44,0.382,0.394,0.306,0.35,0.262
14,0.307,0.287,0.471,0.401,0.334,0.378,0.334,0.261
15,0.31,0.288,0.43,0.353,0.351,0.343,0.351,0.232
16,0.314,0.288,0.434,0.363,0.371,0.31,0.343,0.208
17,0.316,0.287,0.41,0.391,0.347,0.283,0.36,0.199
18,0.311,0.286,0.404,0.451,0.366,0.291,0.366,0.184
19,0.308,0.287,0.394,0.395,0.337,0.283,0.35,0.198
20,0.308,0.286,0.457,0.392,0.344,0.282,0.337,0.214
21,0.309,0.285,0.443,0.408,0.364,0.243,0.363,0.221
22,0.319,0.286,0.429,0.405,0.394,0.269,0.333,0.223
23,0.897,0.369,0.912,0.963,0.859,1.611,1.212,1.502
24,1.842,0.494,1.441,1.613,1.361,2.914,2.747,2.393
25,2.045,0.591,1.862,1.878,1.618,2.946,3.11,2.935
26,2.121,0.663,2.355,2.022,1.86,3.133,3.139,4.433
27,2.492,0.712,4.205,2.448,3.167,4.034,3.613,4.84
28,3.152,0.745,4.681,4.098,4.493,4.758,4.266,4.887
29,3.913,0.769,4.733,4.86,4.88,4.92,4.713,4.902
30,4.447,0.784,4.697,4.965,4.945,4.942,4.898,4.902
31,4.736,0.797,4.645,4.978,4.956,4.942,4.96,4.909
32,4.844,0.802,4.637,4.981,4.96,4.943,4.97,4.904
33,4.885,0.807,4.654,4.986,4.963,4.941,4.974,4.897
34,4.904,0.808,4.639,4.988,4.967,4.937,4.976,4.897
35,4.911,0.811,4.611,4.99,4.97,4.932,4.976,4.889
36,4.914,0.81,4.621,4.99,4.97,4.93,4.976,4.874
37,4.912,0.811,4.776,4.991,4.971,4.918,4.976,4.863
38,4.912,0.81,4.918,4.991,4.971,4.917,4.975,4.87
39,4.91,0.81,4.931,4.989,4.97,4.91,4.976,4.868
40,4.906,0.81,4.932,4.991,4.97,4.902,4.975,4.855
41,4.901,0.81,4.933,4.99,4.968,4.897,4.972,4.862
42,4.895,0.808,4.93,4.99,4.965,4.888,4.971,4.847
43,4.887,0.81,4.93,4.988,4.962,4.885,4.969,4.858
44,4.873,0.807,4.928,4.988,4.957,4.867,4.966,4.854
45,4.853,0.809,4.928,4.987,4.952,4.862,4.963,4.838
46,4.822,0.806,4.926,4.987,4.939,4.85,4.96,4.825
47,4.775,0.808,4.925,4.985,4.927,4.828,4.954,4.836
48,4.708,0.807,4.923,4.982,4.91,4.823,4.943,4.832
49,4.619,0.806,4.921,4.98,4.887,4.801,4.933,4.821
50,4.514,0.806,4.921,4.977,4.852,4.776,4.921,4.831
51,4.413,0.805,4.92,4.972,4.81,4.768,4.901,4.81
52,4.329,0.807,4.921,4.965,4.741,4.744,4.871,4.804
53,4.263,0.806,4.918,4.962,4.634,4.727,4.837,4.801
54,4.215,0.805,4.917,4.955,4.491,4.7,4.798,4.806
55,4.181,0.806,4.919,4.942,4.339,4.675,4.763,4.783
56,4.154,0.806,4.919,4.933,4.214,4.659,4.735,4.776
57,4.128,0.807,4.915,4.921,4.152,4.653,4.712,4.795
58,4.108,0.807,4.915,4.9,4.142,4.613,4.691,4.815
59,4.093,0.806,4.913,4.876,4.099,4.615,4.673,4.777
60,4.08,0.805,4.911,4.84,4.096,4.642,4.657,4.783
61,4.068,0.808,4.908,4.743,4.083,4.619,4.644,4.782
62,4.057,0.806,4.902,4.667,4.096,4.615,4.638,4.786
63,4.052,0.805,4.899,4.559,4.062,4.606,4.628,4.781
64,4.046,0.806,4.893,4.443,4.07,4.598,4.623,4.783
65,4.038,0.806,4.892,4.402,4.076,4.575,4.616,4.783
66,4.034,0.806,4.892,4.386,4.07,4.596,4.61,4.788
67,4.031,0.805,4.879,4.346,4.077,4.584,4.606,4.793
68,4.029,0.805,4.875,4.356,4.08,4.563,4.613,4.796
69,4.029,0.807,4.854,4.36,4.047,4.575,4.6,4.785
70,4.028,0.806,4.843,4.377,4.054,4.57,4.603,4.78
71,4.025,0.805,4.835,4.374,4.073,4.557,4.602,4.797
72,4.023,0.805,4.83,4.382,4.045,4.576,4.597,4.78
73,4.023,0.805,4.818,4.382,4.055,4.57,4.595,4.781
74,4.021,0.805,4.828,4.387,4.044,4.562,4.59,4.767
75,4.018,0.806,4.826,4.39,4.047,4.563,4.598,4.773
76,4.016,0.806,4.816,4.393,4.085,4.555,4.595,4.785
77,4.014,0.805,4.817,4.398,4.065,4.549,4.592,4.79
78,4.013,0.806,4.798,4.367,4.056,4.56,4.587,4.774
79,4.011,0.807,4.795,4.349,4.037,4.579,4.591,4.776
