,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.301,0.236,0.44,0.375,0.389,0.351,0.286,0.226
1,0.302,0.238,0.42,0.389,0.363,0.324,0.294,0.17
2,0.303,0.239,0.402,0.339,0.326,0.303,0.324,0.214
3,0.305,0.237,0.402,0.395,0.343,0.364,0.335,0.202
4,0.297,0.239,0.363,0.456,0.34,0.356,0.329,0.171
5,0.299,0.239,0.412,0.411,0.337,0.384,0.292,0.216
6,0.294,0.237,0.401,0.455,0.294,0.355,0.28,0.209
7,0.307,0.235,0.395,0.405,0.327,0.378,0.304,0.172
8,0.306,0.236,0.414,0.42,0.343,0.356,0.326,0.17
9,0.307,0.237,0.402,0.409,0.323,0.369,0.274,0.161
10,0.312,0.237,0.415,0.437,0.335,0.31,0.277,0.163
11,0.302,0.237,0.407,0.42,0.312,0.343,0.318,0.24
12,0.301,0.237,0.412,0.373,0.328,0.334,0.301,0.182
13,0.298,0.237,0.409,0.408,0.347,0.338,0.25,0.212
14,0.306,0.233,0.401,0.457,0.286,0.371,0.29,0.197
15,0.317,0.234,0.411,0.37,0.35,0.4,0.28,0.213
16,0.302,0.237,0.381,0.418,0.318,0.35,0.273,0.2
17,0.301,0.236,0.4,0.462,0.334,0.325,0.297,0.191
18,0.299,0.237,0.393,0.414,0.301,0.315,0.325,0.208
19,0.297,0.239,0.37,0.415,0.365,0.312,0.246,0.235
20,0.31,0.236,0.393,0.448,0.333,0.336,0.299,0.212
21,0.297,0.236,0.407,0.38,0.338,0.32,0.273,0.167
22,0.298,0.239,0.406,0.384,0.344,0.347,0.311,0.205
23,0.305,0.238,0.405,0.438,0.307,0.398,0.281,0.179
24,0.301,0.237,0.405,0.433,0.327,0.384,0.253,0.188
25,0.37,0.361,0.56,0.426,0.415,0.596,0.347,0.344
26,1.4,1.575,3.115,1.278,2.055,3.202,1.73,2.737
27,2.637,2.312,3.909,2.987,3.477,4.351,3.461,4.086
28,3.057,2.575,3.96,3.348,3.713,4.392,3.908,4.186
29,3.269,2.702,4.661,4.028,4.195,4.612,4.152,4.771
30,4.273,2.777,4.835,4.925,4.838,4.958,4.767,4.947
31,4.864,2.825,4.847,4.988,4.936,4.976,4.975,4.959
32,4.947,2.857,4.853,4.989,4.94,4.977,4.985,4.964
33,4.955,2.88,4.846,4.985,4.936,4.978,4.985,4.965
34,4.951,2.894,4.842,4.98,4.931,4.978,4.985,4.966
35,4.951,2.903,4.832,4.977,4.926,4.977,4.985,4.964
36,4.95,2.909,4.833,4.972,4.922,4.978,4.985,4.966
37,4.947,2.911,4.825,4.971,4.92,4.976,4.985,4.968
38,4.946,2.913,4.818,4.967,4.91,4.976,4.985,4.97
39,4.943,2.912,4.807,4.966,4.906,4.977,4.985,4.967
40,4.942,2.91,4.803,4.963,4.9,4.975,4.984,4.97
41,4.94,2.909,4.796,4.961,4.896,4.977,4.984,4.971
42,4.937,2.906,4.789,4.959,4.888,4.976,4.984,4.972
43,4.936,2.901,4.791,4.958,4.883,4.977,4.983,4.972
44,4.937,2.897,4.785,4.959,4.879,4.98,4.983,4.973
45,4.936,2.894,4.779,4.955,4.877,4.977,4.983,4.973
46,4.936,2.89,4.775,4.954,4.874,4.98,4.983,4.973
47,4.935,2.886,4.775,4.956,4.874,4.982,4.983,4.975
48,4.936,2.881,4.772,4.954,4.877,4.981,4.983,4.974
49,4.936,2.877,4.77,4.952,4.876,4.98,4.984,4.977
50,4.934,2.873,4.765,4.952,4.868,4.983,4.984,4.979
51,4.936,2.868,4.767,4.951,4.868,4.98,4.984,4.98
52,4.936,2.864,4.768,4.952,4.863,4.982,4.984,4.979
53,4.936,2.86,4.76,4.953,4.864,4.983,4.984,4.979
54,4.936,2.855,4.762,4.949,4.867,4.983,4.985,4.981
55,4.936,2.851,4.757,4.953,4.866,4.984,4.985,4.981
56,4.936,2.847,4.764,4.951,4.866,4.984,4.985,4.982
57,4.936,2.844,4.763,4.953,4.865,4.986,4.985,4.983
58,4.937,2.84,4.763,4.953,4.865,4.985,4.985,4.984
59,4.936,2.837,4.758,4.955,4.863,4.986,4.985,4.983
60,4.936,2.833,4.758,4.956,4.866,4.986,4.985,4.985
61,4.937,2.83,4.762,4.953,4.866,4.987,4.984,4.985
62,4.936,2.828,4.757,4.956,4.863,4.986,4.985,4.985
63,4.937,2.823,4.759,4.957,4.864,4.988,4.985,4.987
64,4.936,2.82,4.76,4.955,4.866,4.988,4.985,4.987
65,4.936,2.818,4.758,4.957,4.864,4.987,4.985,4.986
66,4.936,2.813,4.76,4.958,4.862,4.989,4.985,4.986
67,4.936,2.811,4.757,4.96,4.863,4.988,4.985,4.987
68,4.937,2.807,4.763,4.958,4.861,4.988,4.985,4.988
69,4.936,2.804,4.757,4.959,4.865,4.989,4.985,4.987
70,4.936,2.802,4.766,4.961,4.864,4.989,4.985,4.988
71,4.936,2.798,4.76,4.961,4.863,4.989,4.985,4.989
72,4.936,2.797,4.759,4.961,4.863,4.989,4.985,4.99
73,4.936,2.793,4.762,4.961,4.869,4.989,4.985,4.989
74,4.936,2.79,4.765,4.962,4.865,4.989,4.984,4.99
75,4.936,2.788,4.764,4.962,4.87,4.99,4.985,4.989
76,4.936,2.786,4.764,4.963,4.865,4.99,4.985,4.99
77,4.936,2.781,4.764,4.961,4.867,4.99,4.985,4.989
78,4.936,2.776,4.765,4.965,4.866,4.99,4.983,4.99
