,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.764,0.292,0.029,0.283,0.076,0.245,0.329,0.123
1,0.767,0.293,0.033,0.252,0.068,0.258,0.273,0.15
2,0.756,0.292,0.034,0.262,0.073,0.283,0.295,0.184
3,0.761,0.292,0.019,0.263,0.085,0.243,0.3,0.126
4,0.754,0.291,0.021,0.238,0.076,0.276,0.331,0.121
5,0.769,0.291,0.031,0.26,0.074,0.253,0.28,0.152
6,0.754,0.29,0.02,0.188,0.093,0.269,0.28,0.176
7,0.752,0.293,0.014,0.19,0.06,0.257,0.283,0.108
8,0.758,0.294,0.026,0.203,0.079,0.286,0.256,0.139
9,0.765,0.293,0.022,0.231,0.056,0.288,0.278,0.183
10,0.759,0.293,0.022,0.252,0.065,0.269,0.273,0.105
11,0.761,0.294,0.018,0.264,0.065,0.298,0.288,0.124
12,0.762,0.292,0.027,0.26,0.075,0.287,0.282,0.197
13,0.754,0.291,0.029,0.231,0.086,0.247,0.3,0.139
14,0.764,0.293,0.022,0.257,0.07,0.279,0.274,0.17
15,0.753,0.292,0.021,0.243,0.061,0.266,0.302,0.135
16,0.758,0.29,0.027,0.241,0.106,0.294,0.345,0.184
17,0.763,0.293,0.05,0.206,0.066,0.259,0.279,0.175
18,0.754,0.292,0.023,0.271,0.072,0.275,0.269,0.17
19,0.755,0.292,0.042,0.217,0.071,0.267,0.27,0.16
20,0.754,0.291,0.023,0.169,0.1,0.25,0.284,0.138
21,0.762,0.292,0.052,0.247,0.104,0.262,0.293,0.157
22,0.753,0.291,0.012,0.234,0.079,0.246,0.297,0.172
23,0.764,0.291,0.052,0.242,0.072,0.278,0.299,0.168
24,0.755,0.291,0.017,0.211,0.067,0.291,0.304,0.184
25,0.759,0.291,0.022,0.237,0.111,0.283,0.318,0.138
26,0.769,0.292,0.02,0.262,0.109,0.285,0.314,0.141
27,1.17,0.334,0.031,0.311,0.093,1.41,0.519,0.798
28,1.966,0.384,0.051,0.536,0.134,2.674,1.183,1.776
29,2.42,0.427,0.07,0.757,0.21,2.82,1.833,1.792
30,2.578,0.469,0.086,0.926,0.26,2.654,2.128,1.848
31,2.87,0.497,0.264,1.215,0.332,3.168,2.322,3.443
32,3.504,0.524,2.879,2.058,0.41,4.394,3.018,4.651
33,4.399,0.546,4.338,4.351,0.578,4.889,4.205,4.845
34,4.829,0.56,4.558,4.898,3.124,4.926,4.798,4.868
35,4.908,0.575,4.643,4.942,4.619,4.935,4.865,4.866
36,4.918,0.585,4.691,4.946,4.796,4.934,4.876,4.852
37,4.921,0.593,4.718,4.949,4.843,4.928,4.88,4.857
38,4.922,0.599,4.721,4.948,4.868,4.929,4.883,4.845
39,4.921,0.603,4.717,4.938,4.882,4.915,4.884,4.823
40,4.92,0.605,4.71,4.931,4.89,4.911,4.885,4.806
41,4.917,0.607,4.698,4.928,4.893,4.906,4.884,4.795
42,4.917,0.609,4.687,4.923,4.894,4.902,4.883,4.785
43,4.917,0.608,4.67,4.919,4.891,4.902,4.878,4.784
44,4.916,0.607,4.662,4.914,4.891,4.897,4.881,4.783
45,4.913,0.606,4.655,4.904,4.89,4.89,4.881,4.768
46,4.912,0.606,4.646,4.907,4.885,4.894,4.88,4.786
47,4.912,0.601,4.642,4.904,4.885,4.893,4.879,4.774
48,4.912,0.6,4.638,4.898,4.882,4.888,4.879,4.766
49,4.912,0.596,4.627,4.904,4.875,4.895,4.875,4.772
50,4.912,0.595,4.635,4.899,4.876,4.888,4.877,4.759
51,4.911,0.592,4.642,4.894,4.875,4.886,4.881,4.759
52,4.911,0.591,4.644,4.898,4.876,4.893,4.877,4.775
