,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.324,0.589,0.089,0.558,0.196,0.475,0.677,0.23
1,1.321,0.589,0.085,0.493,0.199,0.483,0.688,0.231
2,1.323,0.588,0.137,0.423,0.172,0.508,0.608,0.339
3,1.322,0.588,0.118,0.502,0.169,0.473,0.57,0.28
4,1.317,0.588,0.078,0.474,0.205,0.448,0.647,0.251
5,1.32,0.589,0.084,0.552,0.208,0.463,0.654,0.222
6,1.322,0.587,0.093,0.513,0.195,0.406,0.606,0.204
7,1.323,0.586,0.069,0.509,0.198,0.519,0.632,0.197
8,1.318,0.588,0.083,0.544,0.193,0.44,0.65,0.25
9,1.32,0.587,0.104,0.537,0.189,0.442,0.59,0.257
10,1.325,0.587,0.103,0.597,0.182,0.465,0.691,0.271
11,1.331,0.588,0.114,0.493,0.2,0.466,0.677,0.227
12,1.322,0.589,0.081,0.544,0.195,0.489,0.67,0.22
13,1.321,0.587,0.092,0.5,0.186,0.438,0.605,0.237
14,1.317,0.588,0.077,0.498,0.187,0.444,0.676,0.166
15,1.317,0.587,0.107,0.549,0.208,0.429,0.646,0.168
16,1.319,0.585,0.071,0.54,0.18,0.457,0.652,0.196
17,1.317,0.588,0.098,0.523,0.189,0.425,0.641,0.21
18,1.317,0.587,0.095,0.495,0.184,0.435,0.609,0.222
19,1.315,0.588,0.086,0.566,0.226,0.452,0.646,0.256
20,1.32,0.588,0.101,0.517,0.188,0.451,0.681,0.222
21,1.317,0.587,0.07,0.495,0.159,0.511,0.671,0.221
22,1.314,0.585,0.095,0.498,0.208,0.436,0.681,0.254
23,1.315,0.587,0.093,0.516,0.174,0.461,0.648,0.247
24,1.319,0.606,0.108,0.529,0.141,0.497,0.662,0.204
25,1.558,0.958,0.124,0.598,0.21,0.639,0.896,0.333
26,2.078,1.348,0.186,0.776,0.341,1.026,1.346,0.669
27,2.426,1.533,0.311,1.061,0.44,1.504,1.77,1.149
28,2.741,1.638,0.495,1.488,0.644,2.168,2.113,1.61
29,3.096,1.705,1.06,2.158,0.988,3.0,2.545,2.538
30,3.527,1.747,3.846,3.158,1.941,3.874,3.09,4.436
31,4.137,1.772,4.773,4.581,4.341,4.783,3.776,4.883
32,4.644,1.788,4.833,4.943,4.856,4.95,4.125,4.909
33,4.851,1.795,4.828,4.964,4.892,4.953,4.214,4.909
34,4.911,1.797,4.826,4.963,4.888,4.951,4.204,4.907
35,4.927,1.794,4.815,4.958,4.881,4.95,4.211,4.907
36,4.931,1.788,4.805,4.955,4.866,4.946,4.228,4.909
37,4.931,1.782,4.794,4.951,4.856,4.943,4.216,4.9
38,4.931,1.774,4.786,4.948,4.845,4.937,4.23,4.889
39,4.931,1.763,4.782,4.94,4.839,4.937,4.222,4.877
40,4.931,1.755,4.764,4.936,4.827,4.939,4.217,4.874
41,4.931,1.744,4.76,4.933,4.818,4.937,4.234,4.874
42,4.931,1.733,4.752,4.935,4.813,4.932,4.225,4.878
43,4.929,1.722,4.745,4.929,4.807,4.928,4.246,4.869
44,4.928,1.712,4.743,4.93,4.804,4.934,4.233,4.876
45,4.928,1.699,4.744,4.928,4.799,4.93,4.235,4.885
46,4.927,1.69,4.735,4.924,4.799,4.933,4.236,4.87
47,4.927,1.677,4.739,4.919,4.795,4.927,4.251,4.868
48,4.927,1.668,4.734,4.922,4.791,4.928,4.234,4.873
49,4.927,1.657,4.734,4.92,4.79,4.926,4.249,4.869
50,4.927,1.647,4.736,4.922,4.785,4.926,4.249,4.881
51,4.927,1.638,4.738,4.921,4.782,4.926,4.254,4.876
52,4.926,1.629,4.731,4.919,4.792,4.928,4.234,4.869
53,4.926,1.62,4.736,4.924,4.789,4.927,4.245,4.861
54,4.927,1.611,4.734,4.924,4.786,4.929,4.242,4.859
55,4.927,1.602,4.739,4.92,4.787,4.923,4.233,4.868
56,4.926,1.595,4.733,4.92,4.794,4.927,4.232,4.875
57,4.927,1.587,4.737,4.917,4.793,4.924,4.259,4.863
58,4.926,1.58,4.731,4.922,4.788,4.921,4.24,4.866
59,4.926,1.573,4.748,4.919,4.793,4.923,4.243,4.853
60,4.926,1.566,4.735,4.921,4.791,4.925,4.23,4.863
61,4.927,1.559,4.739,4.915,4.795,4.921,4.25,4.869
62,4.926,1.553,4.738,4.919,4.79,4.924,4.255,4.858
63,4.927,1.548,4.732,4.922,4.795,4.919,4.247,4.866
64,4.927,1.541,4.732,4.917,4.792,4.923,4.244,4.868
65,4.926,1.536,4.737,4.918,4.793,4.928,4.233,4.876
66,4.926,1.531,4.739,4.92,4.791,4.929,4.234,4.859
67,4.926,1.526,4.742,4.921,4.79,4.925,4.236,4.864
68,4.925,1.522,4.739,4.923,4.791,4.923,4.241,4.856
69,4.926,1.517,4.738,4.928,4.794,4.924,4.227,4.867
70,4.925,1.514,4.737,4.929,4.794,4.921,4.248,4.866
71,4.926,1.51,4.738,4.918,4.792,4.923,4.233,4.864
72,4.927,1.505,4.737,4.921,4.791,4.924,4.245,4.861
73,4.926,1.503,4.731,4.921,4.795,4.921,4.238,4.86
74,4.925,1.5,4.733,4.914,4.795,4.925,4.232,4.863
75,4.925,1.496,4.739,4.919,4.792,4.916,4.268,4.861
76,4.926,1.493,4.742,4.919,4.791,4.925,4.242,4.868
77,4.926,1.492,4.736,4.922,4.795,4.919,4.239,4.863
78,4.925,1.487,4.739,4.909,4.793,4.922,4.248,4.865
79,4.926,1.484,4.74,4.919,4.79,4.925,4.245,4.86
80,4.925,1.482,4.74,4.92,4.794,4.916,4.243,4.867
81,4.925,1.48,4.74,4.913,4.796,4.914,4.255,4.856
82,4.925,1.479,4.741,4.92,4.797,4.92,4.247,4.857
83,4.925,1.475,4.742,4.921,4.792,4.923,4.255,4.858
84,4.925,1.473,4.746,4.922,4.791,4.93,4.252,4.853
85,4.924,1.471,4.749,4.92,4.794,4.921,4.26,4.862
86,4.924,1.47,4.748,4.915,4.791,4.918,4.258,4.859
87,4.925,1.468,4.738,4.916,4.788,4.92,4.239,4.864
88,4.925,1.465,4.736,4.924,4.791,4.925,4.236,4.868
89,4.924,1.465,4.741,4.914,4.794,4.921,4.238,4.868
90,4.924,1.463,4.738,4.917,4.791,4.919,4.246,4.865
91,4.924,1.462,4.739,4.918,4.794,4.922,4.251,4.857
92,4.923,1.462,4.735,4.919,4.791,4.921,4.244,4.861
93,4.923,1.458,4.738,4.916,4.792,4.928,4.247,4.861
94,4.924,1.457,4.739,4.916,4.788,4.926,4.255,4.868
95,4.923,1.455,4.738,4.919,4.79,4.922,4.249,4.854
96,4.923,1.454,4.736,4.915,4.789,4.921,4.242,4.863
97,4.922,1.454,4.738,4.919,4.794,4.921,4.242,4.875
98,4.924,1.451,4.732,4.919,4.792,4.921,4.248,4.856
99,4.923,1.45,4.736,4.913,4.792,4.917,4.253,4.856
100,4.922,1.45,4.737,4.915,4.79,4.92,4.252,4.864
101,4.923,1.45,4.735,4.92,4.789,4.918,4.257,4.853
102,4.922,1.448,4.734,4.915,4.792,4.919,4.244,4.865
103,4.923,1.447,4.733,4.918,4.789,4.912,4.255,4.873
104,4.922,1.444,4.739,4.912,4.788,4.92,4.235,4.871
105,4.923,1.445,4.74,4.916,4.786,4.919,4.237,4.882
106,4.922,1.444,4.734,4.928,4.789,4.921,4.242,4.86
107,4.922,1.443,4.733,4.92,4.791,4.923,4.245,4.871
108,4.923,1.441,4.736,4.919,4.79,4.921,4.26,4.855
109,4.922,1.441,4.732,4.919,4.789,4.915,4.251,4.856
110,4.922,1.441,4.728,4.915,4.786,4.914,4.248,4.852
111,4.922,1.441,4.729,4.92,4.786,4.913,4.259,4.847
112,4.922,1.44,4.729,4.911,4.782,4.916,4.26,4.852
113,4.921,1.433,4.737,4.914,4.785,4.915,4.247,4.843
114,4.921,1.401,4.748,4.913,4.791,4.909,4.232,4.845
115,4.922,1.369,4.767,4.907,4.804,4.896,4.24,4.828
116,4.922,1.33,4.776,4.906,4.822,4.903,4.23,4.818
117,4.92,1.29,4.807,4.902,4.846,4.876,4.247,4.796
118,4.918,1.247,4.836,4.903,4.866,4.858,4.241,4.75
119,4.915,1.208,4.734,4.908,4.884,4.763,4.237,4.636
120,4.908,1.17,3.088,4.904,4.834,4.035,4.243,3.663
121,4.888,1.133,1.591,4.906,3.559,3.612,4.218,2.602
122,4.844,1.1,1.269,4.85,2.322,3.311,4.188,2.31
123,4.733,1.068,1.123,4.107,2.062,3.092,4.057,2.069
124,4.397,1.037,0.954,3.415,1.819,2.884,3.635,1.874
125,3.959,1.006,0.836,3.233,1.622,2.626,3.299,1.72
126,3.744,0.978,0.697,3.024,1.449,2.402,2.967,1.551
127,3.586,0.953,0.591,2.814,1.221,2.195,2.768,1.395
128,3.441,0.929,0.502,2.59,1.071,1.923,2.648,1.269
129,3.308,0.906,0.43,2.393,0.945,1.802,2.495,0.981
130,3.193,0.884,0.378,2.214,0.81,1.622,2.36,0.903
131,3.083,0.864,0.335,2.003,0.692,1.508,2.269,0.827
132,2.982,0.845,0.319,1.866,0.665,1.433,2.173,0.717
133,2.883,0.827,0.297,1.771,0.635,1.285,2.059,0.738
134,2.795,0.811,0.26,1.636,0.506,1.214,2.006,0.649
135,2.723,0.796,0.262,1.487,0.487,1.204,1.918,0.672
136,2.645,0.782,0.216,1.393,0.454,1.094,1.829,0.598
137,2.576,0.77,0.211,1.32,0.386,1.041,1.796,0.559
138,2.517,0.758,0.174,1.23,0.416,0.983,1.77,0.481
139,2.454,0.746,0.178,1.148,0.391,0.929,1.719,0.53
140,2.404,0.737,0.147,1.116,0.378,0.933,1.715,0.463
141,2.355,0.727,0.142,1.1,0.344,0.858,1.592,0.451
142,2.315,0.72,0.186,1.009,0.326,0.85,1.596,0.481
143,2.271,0.71,0.187,0.977,0.314,0.84,1.547,0.429
144,2.228,0.704,0.166,0.97,0.355,0.792,1.481,0.331
145,2.19,0.699,0.131,0.955,0.329,0.78,1.494,0.381
146,2.155,0.693,0.166,0.849,0.329,0.799,1.48,0.391
147,2.128,0.687,0.183,0.872,0.262,0.7,1.494,0.363
148,2.1,0.681,0.142,0.899,0.331,0.708,1.41,0.362
149,2.066,0.678,0.14,0.883,0.259,0.727,1.323,0.304
150,2.036,0.672,0.139,0.829,0.255,0.777,1.35,0.364
151,2.012,0.667,0.153,0.851,0.348,0.661,1.301,0.364
152,1.988,0.667,0.127,0.811,0.282,0.715,1.299,0.389
153,1.967,0.661,0.114,0.778,0.276,0.696,1.277,0.337
154,1.947,0.657,0.164,0.799,0.271,0.676,1.253,0.349
155,1.926,0.655,0.153,0.69,0.329,0.687,1.236,0.357
156,1.91,0.652,0.155,0.744,0.289,0.705,1.238,0.319
157,1.894,0.65,0.144,0.778,0.304,0.684,1.246,0.322
158,1.877,0.647,0.144,0.722,0.275,0.669,1.223,0.364
159,1.869,0.645,0.121,0.739,0.222,0.647,1.178,0.326
160,1.849,0.643,0.126,0.734,0.261,0.635,1.224,0.347
161,1.839,0.643,0.104,0.765,0.295,0.611,1.166,0.356
162,1.824,0.641,0.098,0.704,0.252,0.628,1.166,0.333
163,1.816,0.639,0.126,0.788,0.221,0.599,1.185,0.3
164,1.804,0.637,0.119,0.739,0.236,0.63,1.149,0.314
165,1.789,0.634,0.112,0.701,0.235,0.632,1.181,0.275
166,1.786,0.635,0.13,0.654,0.235,0.643,1.16,0.274
167,1.779,0.632,0.137,0.66,0.287,0.647,1.097,0.335
168,1.762,0.631,0.109,0.661,0.223,0.647,1.128,0.282
169,1.75,0.629,0.139,0.648,0.242,0.616,1.128,0.269
170,1.739,0.631,0.137,0.658,0.229,0.574,1.104,0.294
171,1.73,0.631,0.146,0.669,0.261,0.588,1.101,0.301
172,1.725,0.627,0.121,0.696,0.24,0.581,1.101,0.29
173,1.718,0.626,0.137,0.697,0.274,0.605,1.052,0.321
174,1.704,0.623,0.095,0.608,0.248,0.606,0.997,0.356
175,1.71,0.625,0.118,0.64,0.243,0.609,1.04,0.35
176,1.694,0.621,0.129,0.637,0.261,0.579,1.079,0.32
177,1.69,0.622,0.094,0.622,0.22,0.582,1.056,0.355
178,1.679,0.623,0.124,0.653,0.229,0.638,0.97,0.324
179,1.674,0.621,0.09,0.623,0.278,0.595,1.042,0.343
180,1.675,0.619,0.092,0.611,0.23,0.605,0.989,0.266
181,1.677,0.618,0.096,0.558,0.239,0.6,1.055,0.238
182,1.656,0.619,0.102,0.644,0.26,0.564,0.984,0.278
183,1.65,0.618,0.13,0.641,0.251,0.551,0.922,0.305
184,1.643,0.618,0.119,0.671,0.242,0.631,1.009,0.206
185,1.629,0.617,0.097,0.645,0.201,0.615,0.964,0.276
186,1.639,0.614,0.124,0.605,0.239,0.575,0.982,0.255
187,1.63,0.615,0.094,0.616,0.229,0.603,0.987,0.276
188,1.621,0.614,0.111,0.644,0.233,0.589,0.93,0.246
189,1.618,0.613,0.126,0.681,0.233,0.586,0.958,0.207
190,1.618,0.614,0.111,0.593,0.25,0.609,0.97,0.269
191,1.607,0.613,0.112,0.62,0.259,0.54,0.931,0.264
192,1.603,0.612,0.122,0.595,0.239,0.543,0.938,0.26
193,1.605,0.612,0.1,0.639,0.244,0.563,0.937,0.279
194,1.596,0.612,0.104,0.566,0.227,0.616,0.938,0.221
195,1.598,0.612,0.108,0.548,0.207,0.58,0.921,0.292
196,1.589,0.611,0.112,0.615,0.244,0.564,0.904,0.355
197,1.586,0.61,0.11,0.592,0.223,0.579,0.851,0.268
198,1.581,0.608,0.123,0.622,0.226,0.565,0.897,0.247
199,1.576,0.608,0.106,0.639,0.203,0.553,0.917,0.237
200,1.567,0.609,0.109,0.66,0.258,0.56,0.947,0.277
201,1.564,0.609,0.113,0.618,0.208,0.55,0.894,0.259
202,1.562,0.608,0.117,0.63,0.242,0.527,0.897,0.243
203,1.558,0.609,0.116,0.613,0.216,0.576,0.892,0.215
204,1.561,0.607,0.096,0.622,0.225,0.562,0.888,0.254
205,1.55,0.606,0.097,0.579,0.177,0.585,0.886,0.291
206,1.553,0.606,0.107,0.588,0.208,0.534,0.888,0.232
207,1.552,0.607,0.116,0.544,0.221,0.569,0.844,0.213
208,1.543,0.608,0.123,0.667,0.202,0.519,0.91,0.229
209,1.544,0.605,0.144,0.59,0.21,0.563,0.857,0.231
210,1.554,0.604,0.118,0.556,0.245,0.576,0.867,0.241
211,1.536,0.603,0.135,0.63,0.253,0.572,0.832,0.267
212,1.531,0.603,0.115,0.632,0.21,0.516,0.843,0.293
213,1.541,0.603,0.109,0.596,0.22,0.59,0.898,0.241
214,1.529,0.602,0.12,0.545,0.265,0.572,0.857,0.299
215,1.524,0.604,0.12,0.522,0.198,0.495,0.853,0.283
216,1.518,0.604,0.112,0.6,0.234,0.523,0.857,0.241
217,1.52,0.603,0.098,0.574,0.234,0.504,0.909,0.226
218,1.515,0.602,0.072,0.58,0.216,0.617,0.868,0.203
219,1.511,0.602,0.106,0.615,0.17,0.533,0.877,0.28
220,1.514,0.602,0.131,0.54,0.27,0.57,0.83,0.3
221,1.511,0.602,0.097,0.547,0.225,0.508,0.88,0.288
222,1.509,0.601,0.144,0.586,0.243,0.511,0.833,0.334
223,1.507,0.6,0.105,0.511,0.226,0.535,0.84,0.244
224,1.502,0.602,0.107,0.613,0.212,0.448,0.833,0.349
225,1.499,0.604,0.1,0.586,0.214,0.509,0.873,0.292
