,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.125,0.612,0.123,0.508,0.197,0.375,0.552,0.158
1,1.129,0.611,0.105,0.527,0.19,0.36,0.552,0.192
2,1.124,0.61,0.115,0.49,0.212,0.366,0.509,0.23
3,1.132,0.61,0.142,0.478,0.229,0.343,0.506,0.184
4,1.125,0.61,0.099,0.557,0.242,0.328,0.534,0.185
5,1.131,0.611,0.105,0.509,0.182,0.348,0.543,0.18
6,1.125,0.61,0.101,0.534,0.196,0.372,0.504,0.147
7,1.126,0.611,0.094,0.567,0.196,0.391,0.576,0.238
8,1.126,0.609,0.102,0.567,0.219,0.362,0.53,0.226
9,1.135,0.61,0.116,0.535,0.223,0.356,0.518,0.192
10,1.126,0.61,0.096,0.517,0.184,0.31,0.584,0.234
11,1.132,0.609,0.082,0.483,0.195,0.436,0.545,0.185
12,1.121,0.611,0.126,0.513,0.18,0.38,0.526,0.227
13,1.121,0.61,0.101,0.567,0.192,0.324,0.539,0.206
14,1.127,0.609,0.091,0.569,0.216,0.382,0.574,0.255
15,1.123,0.61,0.088,0.488,0.211,0.405,0.549,0.233
16,1.126,0.61,0.103,0.507,0.235,0.398,0.571,0.187
17,1.12,0.608,0.094,0.536,0.22,0.361,0.558,0.237
18,1.118,0.609,0.098,0.526,0.192,0.431,0.555,0.232
19,1.118,0.61,0.098,0.537,0.192,0.339,0.596,0.194
20,1.118,0.611,0.127,0.552,0.157,0.356,0.544,0.289
21,1.121,0.61,0.13,0.53,0.217,0.378,0.558,0.22
22,1.12,0.609,0.107,0.517,0.214,0.385,0.518,0.224
23,1.109,0.61,0.097,0.498,0.227,0.383,0.542,0.182
24,1.137,0.746,0.107,0.478,0.223,0.373,0.59,0.203
25,1.558,1.543,0.346,0.672,0.496,0.562,1.057,0.389
26,2.156,2.041,0.79,0.893,0.889,0.916,1.716,0.613
27,2.557,2.281,1.081,1.141,1.102,1.345,2.234,0.901
28,2.762,2.406,1.145,1.387,1.263,1.58,2.512,1.08
29,2.894,2.486,1.151,1.608,1.263,1.887,2.602,1.335
30,3.029,2.537,1.161,1.849,1.185,2.162,2.696,1.675
31,3.178,2.575,1.158,2.121,1.146,2.601,2.799,2.029
32,3.329,2.601,1.177,2.337,1.176,2.886,2.892,2.356
33,3.468,2.619,1.301,2.673,1.273,3.119,2.996,2.582
34,3.579,2.63,1.385,2.801,1.32,3.267,3.083,2.8
35,3.671,2.64,1.469,3.009,1.427,3.378,3.206,2.896
36,3.745,2.645,1.531,3.167,1.535,3.453,3.303,3.066
37,3.804,2.65,1.599,3.312,1.568,3.579,3.365,3.144
38,3.851,2.652,1.61,3.393,1.697,3.611,3.379,3.168
39,3.888,2.652,1.696,3.461,1.732,3.644,3.409,3.243
40,3.915,2.651,1.714,3.547,1.794,3.655,3.448,3.223
41,3.938,2.651,1.761,3.563,1.801,3.695,3.452,3.261
42,3.958,2.652,1.771,3.603,1.864,3.706,3.447,3.318
43,3.97,2.651,1.79,3.614,1.883,3.685,3.469,3.311
44,3.981,2.65,1.762,3.642,1.918,3.731,3.472,3.314
45,3.987,2.648,1.796,3.646,1.896,3.711,3.465,3.28
46,3.997,2.647,1.802,3.641,1.895,3.725,3.478,3.34
47,4.0,2.646,1.786,3.644,1.903,3.774,3.481,3.329
48,4.003,2.644,1.827,3.682,1.923,3.756,3.496,3.261
49,4.007,2.642,1.801,3.637,1.879,3.766,3.537,3.311
50,4.006,2.642,1.791,3.654,1.953,3.75,3.497,3.285
51,4.01,2.639,1.788,3.674,1.895,3.786,3.497,3.301
52,4.008,2.638,1.806,3.638,1.914,3.742,3.472,3.309
53,4.008,2.638,1.78,3.655,1.906,3.726,3.504,3.284
