,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.502,0.659,0.285,0.996,0.359,0.539,0.924,0.24
1,1.5,0.66,0.287,0.96,0.367,0.531,0.901,0.296
2,1.504,0.659,0.284,0.975,0.365,0.582,0.91,0.295
3,1.502,0.656,0.294,1.026,0.33,0.567,0.925,0.245
4,1.503,0.658,0.271,1.0,0.362,0.578,0.907,0.291
5,1.5,0.658,0.268,0.976,0.359,0.561,0.894,0.298
6,1.505,0.657,0.275,1.004,0.351,0.548,0.928,0.366
7,1.505,0.657,0.296,0.982,0.335,0.52,0.962,0.321
8,1.502,0.658,0.294,0.98,0.368,0.527,0.925,0.368
9,1.502,0.656,0.254,0.997,0.352,0.585,0.948,0.336
10,1.5,0.657,0.279,1.004,0.332,0.536,0.938,0.289
11,1.501,0.659,0.276,1.009,0.316,0.532,0.93,0.31
12,1.497,0.658,0.241,0.922,0.389,0.535,0.939,0.303
13,1.497,0.655,0.259,1.035,0.362,0.529,0.941,0.303
14,1.502,0.659,0.282,1.05,0.379,0.583,0.942,0.326
15,1.498,0.658,0.242,0.975,0.342,0.512,0.93,0.288
16,1.499,0.657,0.261,0.99,0.346,0.584,0.913,0.355
17,1.499,0.658,0.276,1.028,0.347,0.515,0.96,0.239
18,1.497,0.656,0.297,0.959,0.334,0.508,0.93,0.319
19,1.498,0.658,0.284,0.998,0.324,0.526,0.951,0.283
20,1.502,0.656,0.29,0.991,0.362,0.567,0.926,0.302
21,1.5,0.656,0.258,0.978,0.356,0.543,0.924,0.363
22,1.504,0.655,0.269,0.961,0.375,0.532,0.932,0.301
23,1.514,0.657,0.266,0.984,0.408,0.571,0.913,0.332
24,1.728,0.887,0.418,1.008,0.471,0.693,1.066,0.421
25,2.582,1.628,0.991,1.335,0.853,1.625,1.757,1.276
26,3.151,2.052,1.319,1.743,1.067,2.716,2.358,2.323
27,3.45,2.242,1.466,2.107,1.288,3.412,2.885,3.01
28,3.648,2.35,1.562,2.453,1.412,3.809,3.134,3.451
29,3.786,2.42,1.692,2.906,1.566,4.099,3.374,3.699
30,3.906,2.474,1.949,3.332,1.802,4.256,3.613,3.744
31,4.011,2.51,2.338,3.655,2.113,4.251,3.786,3.713
32,4.11,2.541,3.045,3.996,2.443,4.241,3.823,3.911
33,4.196,2.568,4.435,4.293,2.846,4.272,3.992,4.762
34,4.282,2.587,4.86,4.508,3.352,4.378,4.04,4.926
35,4.386,2.603,4.924,4.743,4.208,4.795,4.35,4.943
36,4.562,2.617,4.937,4.933,4.683,4.954,4.491,4.951
37,4.714,2.629,4.938,4.979,4.819,4.973,4.577,4.953
38,4.81,2.64,4.939,4.987,4.858,4.971,4.654,4.957
39,4.863,2.65,4.937,4.988,4.866,4.972,4.552,4.956
40,4.898,2.66,4.935,4.99,4.867,4.97,4.721,4.954
41,4.917,2.668,4.934,4.991,4.868,4.97,4.652,4.953
42,4.929,2.677,4.933,4.99,4.867,4.969,4.628,4.954
43,4.935,2.684,4.933,4.99,4.868,4.97,4.751,4.955
44,4.937,2.692,4.933,4.991,4.868,4.968,4.722,4.952
45,4.939,2.7,4.931,4.991,4.868,4.967,4.725,4.951
46,4.938,2.707,4.93,4.99,4.867,4.968,4.619,4.954
47,4.937,2.714,4.929,4.989,4.867,4.968,4.437,4.956
48,4.936,2.72,4.926,4.99,4.865,4.969,4.649,4.949
49,4.936,2.726,4.926,4.99,4.867,4.966,4.579,4.956
50,4.936,2.732,4.927,4.99,4.866,4.967,4.642,4.949
51,4.935,2.737,4.926,4.99,4.864,4.967,4.587,4.951
52,4.934,2.742,4.926,4.99,4.863,4.969,4.568,4.953
53,4.933,2.747,4.924,4.99,4.862,4.968,4.598,4.957
54,4.932,2.752,4.925,4.991,4.862,4.968,4.67,4.95
55,4.932,2.757,4.925,4.991,4.858,4.969,4.57,4.953
56,4.932,2.761,4.923,4.991,4.86,4.969,4.587,4.955
57,4.931,2.764,4.924,4.99,4.859,4.968,4.802,4.957
58,4.93,2.769,4.923,4.99,4.855,4.965,4.585,4.952
59,4.931,2.772,4.925,4.99,4.844,4.968,4.656,4.949
60,4.929,2.776,4.922,4.989,4.838,4.967,4.621,4.956
61,4.928,2.779,4.921,4.99,4.837,4.968,4.591,4.952
62,4.927,2.783,4.921,4.991,4.838,4.966,4.831,4.95
63,4.927,2.786,4.921,4.99,4.833,4.966,4.805,4.953
64,4.927,2.788,4.922,4.99,4.836,4.967,4.782,4.955
65,4.927,2.791,4.92,4.99,4.833,4.968,4.612,4.953
66,4.926,2.793,4.921,4.99,4.832,4.966,4.676,4.956
67,4.927,2.797,4.92,4.99,4.828,4.967,4.769,4.956
68,4.926,2.799,4.92,4.991,4.827,4.966,4.639,4.953
69,4.926,2.801,4.917,4.99,4.826,4.968,4.624,4.957
70,4.926,2.803,4.917,4.99,4.824,4.968,4.66,4.953
71,4.925,2.804,4.918,4.989,4.824,4.964,4.606,4.947
72,4.925,2.807,4.919,4.991,4.826,4.965,4.601,4.95
73,4.925,2.808,4.92,4.99,4.824,4.966,4.601,4.954
74,4.924,2.81,4.919,4.99,4.824,4.964,4.588,4.951
75,4.923,2.812,4.916,4.99,4.821,4.965,4.593,4.955
76,4.923,2.812,4.924,4.991,4.825,4.967,4.614,4.954
77,4.923,2.815,4.92,4.99,4.822,4.965,4.589,4.949
78,4.922,2.816,4.917,4.991,4.822,4.968,4.421,4.953
79,4.922,2.817,4.917,4.99,4.821,4.966,4.592,4.952
80,4.922,2.818,4.918,4.991,4.82,4.967,4.531,4.952
81,4.922,2.821,4.918,4.99,4.816,4.967,4.754,4.954
82,4.922,2.822,4.918,4.99,4.817,4.968,4.757,4.956
83,4.921,2.823,4.916,4.99,4.816,4.966,4.613,4.954
84,4.922,2.823,4.917,4.99,4.817,4.965,4.734,4.952
85,4.922,2.825,4.916,4.988,4.816,4.966,4.717,4.955
86,4.922,2.827,4.917,4.99,4.816,4.967,4.72,4.953
87,4.921,2.827,4.916,4.991,4.817,4.968,4.723,4.953
88,4.921,2.827,4.916,4.991,4.814,4.968,4.652,4.952
89,4.922,2.827,4.917,4.99,4.809,4.966,4.705,4.951
90,4.921,2.829,4.915,4.989,4.808,4.968,4.557,4.951
91,4.921,2.831,4.916,4.99,4.808,4.968,4.631,4.954
92,4.922,2.831,4.916,4.99,4.809,4.968,4.591,4.959
93,4.921,2.832,4.916,4.99,4.805,4.967,4.703,4.956
94,4.921,2.831,4.916,4.99,4.803,4.965,4.527,4.953
95,4.92,2.832,4.915,4.99,4.807,4.966,4.578,4.952
96,4.92,2.834,4.914,4.989,4.802,4.965,4.465,4.955
97,4.92,2.835,4.914,4.989,4.807,4.965,4.508,4.953
98,4.921,2.836,4.915,4.99,4.803,4.964,4.564,4.952
99,4.92,2.836,4.914,4.99,4.806,4.964,4.738,4.955
100,4.92,2.837,4.914,4.99,4.804,4.965,4.566,4.952
101,4.919,2.837,4.914,4.989,4.802,4.963,4.613,4.95
102,4.919,2.837,4.916,4.99,4.801,4.966,4.643,4.952
103,4.918,2.838,4.914,4.989,4.802,4.967,4.676,4.951
104,4.918,2.838,4.913,4.991,4.801,4.966,4.572,4.95
105,4.918,2.837,4.916,4.99,4.8,4.967,4.618,4.951
106,4.918,2.839,4.912,4.99,4.799,4.967,4.672,4.952
107,4.917,2.84,4.911,4.99,4.799,4.967,4.557,4.954
108,4.917,2.841,4.912,4.99,4.797,4.966,4.523,4.95
109,4.917,2.841,4.913,4.989,4.796,4.966,4.685,4.952
110,4.918,2.842,4.911,4.989,4.795,4.964,4.616,4.949
111,4.917,2.843,4.908,4.99,4.796,4.966,4.537,4.95
112,4.917,2.843,4.908,4.99,4.794,4.965,4.665,4.949
113,4.916,2.831,4.909,4.989,4.795,4.961,4.547,4.942
114,4.905,2.771,4.894,4.989,4.791,4.942,4.565,4.921
115,4.886,2.692,4.878,4.987,4.787,4.851,4.357,4.875
116,4.842,2.609,4.817,4.987,4.751,4.213,4.552,4.376
117,4.777,2.522,4.645,4.985,4.462,3.795,4.352,3.426
118,4.738,2.437,3.375,4.968,3.146,3.758,4.725,3.331
119,4.657,2.35,1.997,4.724,2.586,3.661,4.495,3.206
120,4.472,2.265,1.677,4.072,2.313,3.587,4.202,3.163
121,4.242,2.18,1.484,3.753,2.044,3.39,3.798,3.05
122,4.065,2.095,1.3,3.501,1.792,3.112,3.676,2.835
123,3.934,2.011,1.201,3.23,1.611,2.801,3.627,2.527
124,3.819,1.928,1.096,3.066,1.486,2.604,3.263,2.306
125,3.712,1.843,0.997,2.921,1.29,2.372,3.306,1.97
126,3.613,1.765,0.929,2.711,1.213,2.177,2.996,1.695
127,3.523,1.69,0.844,2.55,1.127,2.016,2.958,1.516
128,3.44,1.62,0.834,2.474,1.074,1.857,3.001,1.395
129,3.363,1.553,0.787,2.263,1.011,1.724,2.971,1.261
130,3.292,1.492,0.771,2.213,0.981,1.581,2.645,1.14
131,3.228,1.439,0.74,2.12,0.936,1.499,2.788,1.006
132,3.165,1.386,0.711,2.035,0.888,1.373,2.736,0.975
133,3.109,1.341,0.667,1.987,0.841,1.324,2.635,0.891
134,3.058,1.299,0.663,1.917,0.842,1.223,2.529,0.805
135,3.01,1.259,0.615,1.816,0.801,1.134,2.464,0.698
136,2.972,1.224,0.597,1.73,0.763,1.116,2.431,0.719
137,2.925,1.189,0.627,1.691,0.764,1.053,2.312,0.658
138,2.891,1.16,0.6,1.685,0.742,1.004,2.394,0.591
139,2.856,1.133,0.573,1.684,0.719,0.92,2.258,0.648
140,2.824,1.111,0.581,1.654,0.73,0.885,2.279,0.587
141,2.789,1.085,0.557,1.662,0.714,0.814,2.21,0.607
142,2.763,1.066,0.509,1.578,0.631,0.784,2.192,0.527
143,2.736,1.049,0.546,1.582,0.666,0.75,2.19,0.552
144,2.712,1.033,0.517,1.583,0.669,0.755,2.153,0.548
145,2.693,1.018,0.512,1.531,0.676,0.733,2.114,0.505
146,2.66,1.004,0.545,1.507,0.666,0.772,2.06,0.506
147,2.645,0.992,0.529,1.499,0.622,0.742,2.048,0.522
148,2.623,0.979,0.488,1.457,0.615,0.706,2.024,0.441
149,2.609,0.969,0.489,1.484,0.639,0.742,2.03,0.47
150,2.583,0.958,0.505,1.453,0.611,0.694,2.011,0.447
151,2.569,0.95,0.497,1.45,0.626,0.629,1.989,0.41
152,2.557,0.943,0.507,1.395,0.583,0.676,2.009,0.441
153,2.53,0.933,0.502,1.411,0.589,0.661,1.957,0.356
154,2.521,0.925,0.469,1.346,0.587,0.685,2.008,0.443
155,2.504,0.919,0.497,1.357,0.62,0.696,1.943,0.412
156,2.486,0.914,0.524,1.388,0.6,0.655,1.952,0.39
157,2.472,0.907,0.479,1.372,0.587,0.659,1.937,0.383
158,2.462,0.901,0.467,1.372,0.587,0.715,1.87,0.373
159,2.449,0.897,0.478,1.362,0.569,0.639,1.832,0.372
160,2.436,0.891,0.457,1.331,0.554,0.653,1.818,0.428
161,2.42,0.888,0.442,1.362,0.576,0.641,1.847,0.391
162,2.409,0.882,0.468,1.373,0.595,0.648,1.782,0.361
163,2.397,0.88,0.461,1.345,0.575,0.632,1.808,0.36
164,2.384,0.875,0.434,1.367,0.562,0.608,1.814,0.355
165,2.374,0.87,0.471,1.333,0.556,0.62,1.764,0.385
166,2.359,0.868,0.48,1.269,0.537,0.679,1.814,0.375
167,2.352,0.864,0.476,1.314,0.505,0.619,1.785,0.374
168,2.344,0.862,0.463,1.286,0.539,0.642,1.772,0.405
169,2.333,0.86,0.459,1.357,0.561,0.648,1.783,0.316
170,2.324,0.856,0.454,1.308,0.557,0.569,1.759,0.358
171,2.323,0.853,0.44,1.291,0.561,0.567,1.769,0.318
172,2.307,0.85,0.445,1.327,0.536,0.605,1.782,0.335
173,2.292,0.845,0.421,1.31,0.492,0.584,1.715,0.352
174,2.286,0.841,0.448,1.293,0.542,0.583,1.764,0.365
175,2.276,0.84,0.435,1.307,0.556,0.584,1.728,0.338
176,2.268,0.838,0.46,1.35,0.51,0.56,1.881,0.339
177,2.261,0.837,0.449,1.302,0.52,0.64,1.733,0.398
178,2.25,0.834,0.402,1.269,0.554,0.549,1.703,0.308
179,2.241,0.831,0.424,1.301,0.553,0.569,1.713,0.353
180,2.236,0.83,0.43,1.259,0.532,0.585,1.717,0.33
181,2.228,0.826,0.428,1.3,0.564,0.559,1.695,0.277
182,2.221,0.824,0.446,1.213,0.532,0.563,1.648,0.32
183,2.21,0.824,0.444,1.265,0.506,0.568,1.663,0.407
184,2.203,0.823,0.437,1.26,0.54,0.512,1.652,0.339
185,2.195,0.819,0.407,1.271,0.536,0.545,1.669,0.316
186,2.191,0.818,0.41,1.192,0.548,0.494,1.671,0.239
187,2.178,0.817,0.45,1.249,0.534,0.57,1.622,0.347
188,2.179,0.814,0.405,1.252,0.519,0.526,1.664,0.311
189,2.165,0.812,0.449,1.217,0.512,0.535,1.667,0.374
190,2.15,0.81,0.402,1.238,0.536,0.565,1.617,0.347
191,2.154,0.808,0.39,1.265,0.522,0.552,1.641,0.303
192,2.144,0.807,0.426,1.247,0.554,0.56,1.599,0.366
193,2.139,0.806,0.421,1.216,0.536,0.528,1.592,0.303
194,2.135,0.805,0.389,1.19,0.509,0.531,1.615,0.289
195,2.129,0.803,0.424,1.198,0.527,0.526,1.577,0.351
196,2.132,0.801,0.431,1.217,0.52,0.541,1.672,0.32
