,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.669,0.439,0.03,0.179,0.067,0.208,0.248,0.136
1,0.667,0.438,0.02,0.212,0.085,0.233,0.28,0.113
2,0.677,0.438,0.008,0.245,0.074,0.241,0.247,0.114
3,0.677,0.438,0.016,0.242,0.074,0.216,0.248,0.143
4,0.668,0.436,0.04,0.246,0.098,0.231,0.228,0.228
5,0.674,0.439,0.028,0.218,0.098,0.205,0.251,0.202
6,0.669,0.441,0.029,0.198,0.123,0.238,0.268,0.175
7,0.671,0.439,0.03,0.236,0.091,0.198,0.237,0.108
8,0.666,0.439,0.03,0.234,0.107,0.298,0.234,0.208
9,0.673,0.439,0.021,0.227,0.076,0.241,0.22,0.168
10,0.67,0.44,0.032,0.23,0.093,0.233,0.27,0.185
11,0.671,0.438,0.026,0.229,0.074,0.223,0.243,0.167
12,0.664,0.438,0.057,0.217,0.097,0.229,0.226,0.183
13,0.667,0.436,0.027,0.216,0.131,0.228,0.231,0.093
14,0.667,0.435,0.021,0.192,0.076,0.218,0.267,0.147
15,0.673,0.436,0.035,0.22,0.103,0.195,0.25,0.162
16,0.68,0.437,0.048,0.204,0.13,0.215,0.264,0.127
17,0.675,0.437,0.027,0.249,0.088,0.251,0.24,0.152
18,0.668,0.436,0.027,0.213,0.145,0.207,0.285,0.141
19,0.671,0.435,0.036,0.219,0.118,0.239,0.243,0.141
20,0.669,0.437,0.028,0.236,0.11,0.253,0.305,0.174
21,0.672,0.434,0.038,0.212,0.1,0.244,0.233,0.182
22,0.668,0.435,0.034,0.198,0.127,0.234,0.26,0.146
23,0.67,0.436,0.028,0.209,0.115,0.201,0.259,0.143
24,0.668,0.435,0.026,0.192,0.081,0.252,0.248,0.187
25,0.672,0.435,0.035,0.234,0.142,0.228,0.264,0.109
26,0.669,0.435,0.046,0.165,0.096,0.206,0.241,0.105
27,0.668,0.436,0.028,0.18,0.084,0.198,0.244,0.133
28,0.665,0.435,0.019,0.204,0.104,0.224,0.239,0.15
29,0.668,0.454,0.034,0.27,0.098,0.211,0.268,0.173
30,0.709,0.609,0.02,0.215,0.072,0.257,0.294,0.136
31,0.797,0.851,0.02,0.242,0.069,0.363,0.406,0.166
32,0.905,1.041,0.033,0.262,0.087,0.404,0.466,0.253
33,1.0,1.193,0.107,0.282,0.2,0.44,0.613,0.323
