,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.282,0.272,0.485,0.501,0.42,0.327,0.392,0.227
1,0.273,0.272,0.519,0.526,0.392,0.314,0.371,0.233
2,0.282,0.269,0.501,0.493,0.416,0.319,0.356,0.233
3,0.273,0.268,0.527,0.456,0.394,0.342,0.399,0.222
4,0.275,0.269,0.516,0.441,0.429,0.304,0.352,0.245
5,0.283,0.269,0.506,0.518,0.409,0.312,0.389,0.228
6,0.271,0.272,0.528,0.482,0.472,0.346,0.386,0.19
7,0.274,0.271,0.508,0.507,0.441,0.369,0.375,0.204
8,0.282,0.271,0.501,0.521,0.459,0.273,0.368,0.251
9,0.278,0.27,0.546,0.439,0.432,0.308,0.36,0.216
10,0.275,0.272,0.494,0.55,0.387,0.341,0.39,0.231
11,0.279,0.271,0.503,0.508,0.424,0.307,0.379,0.212
12,0.277,0.271,0.533,0.485,0.427,0.283,0.404,0.203
13,0.28,0.27,0.535,0.453,0.433,0.355,0.384,0.22
14,0.28,0.269,0.528,0.527,0.467,0.328,0.363,0.251
15,0.269,0.27,0.531,0.462,0.418,0.334,0.417,0.256
16,0.28,0.27,0.521,0.53,0.381,0.347,0.404,0.21
17,0.281,0.269,0.501,0.481,0.399,0.317,0.359,0.26
18,0.278,0.27,0.512,0.509,0.423,0.367,0.38,0.224
19,0.271,0.271,0.529,0.509,0.433,0.341,0.378,0.207
20,0.279,0.271,0.508,0.544,0.443,0.327,0.426,0.218
21,0.274,0.27,0.521,0.481,0.426,0.332,0.395,0.242
22,0.402,0.302,0.748,0.703,0.602,0.936,0.62,0.772
23,1.235,0.436,1.438,1.607,1.258,2.679,2.329,2.244
24,1.603,0.547,1.858,2.074,1.664,2.976,3.113,2.645
25,1.661,0.63,2.348,2.318,1.847,3.066,3.175,4.229
26,1.919,0.687,4.259,2.542,3.08,3.922,3.578,4.821
27,2.454,0.726,4.871,4.196,4.55,4.769,4.267,4.886
28,3.051,0.755,4.928,4.874,4.9,4.921,4.723,4.907
29,3.475,0.773,4.941,4.963,4.945,4.944,4.915,4.905
30,3.683,0.785,4.948,4.976,4.957,4.943,4.965,4.909
31,3.761,0.794,4.955,4.983,4.961,4.943,4.973,4.907
32,3.796,0.799,4.957,4.988,4.965,4.94,4.975,4.9
33,3.815,0.8,4.959,4.99,4.968,4.941,4.977,4.898
34,3.826,0.803,4.963,4.989,4.971,4.941,4.977,4.893
35,3.838,0.803,4.964,4.99,4.971,4.93,4.978,4.891
36,3.844,0.803,4.962,4.992,4.972,4.925,4.977,4.889
37,4.471,0.803,4.962,4.991,4.972,4.921,4.976,4.885
38,4.723,0.803,4.964,4.992,4.972,4.915,4.975,4.88
39,4.766,0.802,4.96,4.991,4.971,4.914,4.975,4.875
40,4.752,0.803,4.962,4.99,4.97,4.91,4.975,4.864
41,4.745,0.801,4.96,4.991,4.968,4.902,4.974,4.854
42,4.726,0.8,4.96,4.991,4.966,4.897,4.972,4.856
43,4.711,0.801,4.958,4.99,4.964,4.893,4.97,4.853
44,4.719,0.801,4.958,4.99,4.961,4.889,4.97,4.858
45,4.676,0.801,4.955,4.989,4.958,4.875,4.967,4.854
46,4.635,0.8,4.955,4.988,4.95,4.87,4.966,4.851
47,4.634,0.801,4.955,4.985,4.944,4.859,4.964,4.839
48,4.703,0.801,4.953,4.986,4.936,4.861,4.962,4.828
49,4.75,0.801,4.953,4.984,4.927,4.854,4.956,4.834
50,4.736,0.8,4.954,4.982,4.913,4.844,4.952,4.815
51,4.714,0.8,4.951,4.979,4.901,4.844,4.945,4.837
52,4.684,0.8,4.949,4.978,4.89,4.828,4.937,4.825
53,4.646,0.8,4.952,4.974,4.867,4.835,4.928,4.82
54,4.604,0.8,4.949,4.974,4.841,4.823,4.919,4.82
55,4.557,0.799,4.943,4.968,4.806,4.813,4.908,4.83
56,4.506,0.799,4.944,4.963,4.758,4.813,4.893,4.827
57,4.451,0.799,4.943,4.964,4.694,4.813,4.875,4.831
58,4.4,0.802,4.94,4.96,4.626,4.797,4.856,4.813
59,4.352,0.8,4.941,4.958,4.514,4.805,4.839,4.819
60,4.306,0.799,4.941,4.953,4.416,4.797,4.821,4.819
61,4.266,0.799,4.94,4.953,4.329,4.769,4.807,4.831
62,4.233,0.799,4.938,4.951,4.245,4.78,4.793,4.819
63,4.206,0.799,4.937,4.945,4.207,4.779,4.778,4.818
64,4.189,0.798,4.936,4.945,4.185,4.774,4.767,4.814
65,4.171,0.801,4.935,4.941,4.173,4.774,4.751,4.815
66,4.157,0.8,4.937,4.933,4.172,4.769,4.744,4.808
67,4.144,0.799,4.934,4.928,4.163,4.758,4.733,4.802
68,4.141,0.8,4.929,4.926,4.164,4.749,4.73,4.795
69,4.132,0.8,4.926,4.918,4.168,4.743,4.724,4.811
70,4.122,0.799,4.926,4.908,4.151,4.744,4.713,4.805
71,4.113,0.798,4.924,4.895,4.149,4.74,4.71,4.81
72,4.105,0.798,4.921,4.879,4.151,4.72,4.704,4.819
73,4.097,0.798,4.92,4.867,4.145,4.721,4.701,4.795
74,4.088,0.798,4.918,4.834,4.143,4.739,4.688,4.805
75,4.08,0.797,4.914,4.811,4.152,4.717,4.685,4.816
76,4.072,0.798,4.913,4.749,4.14,4.702,4.677,4.819
77,4.065,0.797,4.909,4.7,4.141,4.691,4.671,4.809
78,4.047,0.797,4.906,4.632,4.129,4.701,4.664,4.803
79,4.035,0.799,4.907,4.567,4.13,4.714,4.656,4.806
