,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.129,0.928,0.089,0.633,0.162,0.439,0.594,0.205
1,1.133,0.926,0.074,0.58,0.179,0.503,0.578,0.181
2,1.131,0.926,0.072,0.551,0.17,0.424,0.575,0.187
3,1.129,0.927,0.082,0.59,0.161,0.427,0.521,0.246
4,1.131,0.926,0.075,0.543,0.161,0.492,0.559,0.215
5,1.135,0.926,0.078,0.626,0.15,0.472,0.608,0.192
6,1.134,0.925,0.083,0.597,0.146,0.44,0.588,0.222
7,1.135,0.923,0.075,0.615,0.186,0.513,0.553,0.265
8,1.123,0.923,0.08,0.609,0.179,0.478,0.546,0.277
9,1.124,0.924,0.069,0.63,0.186,0.464,0.538,0.249
10,1.129,0.923,0.083,0.524,0.136,0.473,0.59,0.252
11,1.123,0.922,0.087,0.557,0.134,0.481,0.575,0.241
12,1.127,0.924,0.08,0.6,0.146,0.434,0.578,0.242
13,1.131,0.924,0.068,0.622,0.184,0.442,0.581,0.299
14,1.131,0.921,0.094,0.565,0.148,0.472,0.587,0.222
15,1.131,0.925,0.065,0.583,0.133,0.348,0.551,0.318
16,1.13,0.922,0.1,0.58,0.179,0.466,0.559,0.226
17,1.125,0.922,0.096,0.625,0.145,0.479,0.601,0.247
18,1.13,0.922,0.089,0.619,0.169,0.48,0.573,0.211
19,1.13,0.922,0.09,0.642,0.196,0.399,0.54,0.237
20,1.134,0.921,0.082,0.575,0.184,0.44,0.591,0.262
21,1.125,0.92,0.083,0.598,0.147,0.457,0.606,0.214
22,1.133,0.921,0.069,0.505,0.201,0.509,0.592,0.257
23,1.131,0.923,0.086,0.544,0.186,0.419,0.602,0.205
24,1.155,1.014,0.066,0.565,0.175,0.449,0.574,0.271
25,1.888,1.789,0.266,0.736,0.541,1.3,1.179,0.981
26,2.846,2.292,0.825,1.212,1.139,2.893,2.025,2.468
27,3.357,2.509,1.441,1.815,1.141,3.651,2.68,3.438
28,3.846,2.636,4.51,3.846,3.7,4.578,3.414,4.8
29,4.613,2.715,4.899,4.927,4.834,4.96,4.154,4.937
30,4.892,2.769,4.908,4.982,4.88,4.977,4.293,4.945
31,4.938,2.807,4.898,4.985,4.877,4.976,4.285,4.952
