,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.809,0.274,0.04,0.236,0.102,0.316,0.281,0.247
1,0.802,0.276,0.026,0.232,0.116,0.269,0.296,0.186
2,0.804,0.277,0.024,0.246,0.119,0.299,0.317,0.251
3,0.802,0.274,0.034,0.185,0.119,0.277,0.303,0.169
4,0.806,0.276,0.037,0.207,0.14,0.296,0.381,0.137
5,0.8,0.275,0.022,0.203,0.118,0.287,0.345,0.138
6,0.802,0.275,0.032,0.226,0.116,0.302,0.337,0.179
7,0.797,0.275,0.027,0.223,0.105,0.278,0.314,0.173
8,0.801,0.278,0.021,0.202,0.113,0.304,0.331,0.133
9,0.8,0.275,0.016,0.28,0.123,0.319,0.295,0.202
10,0.801,0.276,0.032,0.249,0.123,0.302,0.309,0.141
11,0.806,0.274,0.017,0.224,0.107,0.32,0.316,0.132
12,0.806,0.276,0.033,0.227,0.096,0.291,0.309,0.243
13,0.799,0.275,0.029,0.249,0.079,0.326,0.314,0.198
14,0.805,0.275,0.032,0.234,0.088,0.306,0.297,0.213
15,0.803,0.275,0.034,0.235,0.077,0.284,0.349,0.182
16,0.798,0.276,0.029,0.226,0.085,0.355,0.3,0.165
17,0.792,0.274,0.025,0.228,0.1,0.334,0.301,0.164
18,0.796,0.275,0.024,0.224,0.093,0.306,0.309,0.213
19,0.801,0.278,0.035,0.2,0.114,0.3,0.305,0.229
20,0.806,0.276,0.019,0.238,0.063,0.309,0.297,0.152
21,0.81,0.275,0.048,0.228,0.107,0.29,0.331,0.228
22,0.801,0.275,0.035,0.248,0.101,0.319,0.322,0.175
23,0.802,0.274,0.033,0.262,0.089,0.342,0.31,0.192
24,0.81,0.277,0.04,0.217,0.106,0.276,0.389,0.203
25,0.807,0.275,0.039,0.251,0.103,0.35,0.361,0.188
26,0.975,0.291,0.043,0.256,0.103,0.752,0.405,0.442
27,1.825,0.345,0.031,0.402,0.146,2.176,1.005,1.502
28,2.384,0.387,0.068,0.64,0.27,2.559,1.665,1.725
29,2.577,0.429,0.061,0.921,0.383,2.498,2.027,1.727
30,2.795,0.464,0.172,1.248,0.383,2.934,2.215,3.188
31,3.426,0.489,2.739,1.969,0.461,4.336,2.952,4.651
32,4.332,0.513,4.204,4.298,0.652,4.869,4.17,4.834
33,4.824,0.532,4.444,4.896,3.013,4.924,4.813,4.865
34,4.908,0.547,4.557,4.932,4.59,4.928,4.876,4.857
35,4.918,0.559,4.623,4.943,4.756,4.935,4.887,4.87
36,4.922,0.569,4.663,4.942,4.816,4.925,4.892,4.846
37,4.921,0.577,4.674,4.939,4.847,4.922,4.89,4.843
38,4.921,0.583,4.676,4.933,4.868,4.915,4.894,4.813
39,4.921,0.587,4.668,4.928,4.878,4.91,4.89,4.803
40,4.92,0.589,4.655,4.925,4.882,4.906,4.888,4.797
41,4.917,0.591,4.634,4.915,4.882,4.899,4.884,4.786
42,4.917,0.591,4.618,4.914,4.882,4.9,4.882,4.786
43,4.917,0.589,4.598,4.909,4.88,4.9,4.883,4.793
44,4.916,0.59,4.587,4.897,4.876,4.891,4.881,4.771
45,4.913,0.59,4.583,4.893,4.878,4.889,4.885,4.76
