,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.918,0.649,0.049,0.42,0.281,0.666,0.433,0.434
1,0.917,0.651,0.041,0.417,0.254,0.658,0.402,0.39
2,0.924,0.65,0.055,0.373,0.296,0.645,0.425,0.44
3,0.915,0.65,0.042,0.427,0.271,0.605,0.424,0.386
4,0.917,0.649,0.056,0.42,0.274,0.62,0.428,0.444
5,0.911,0.649,0.048,0.458,0.292,0.639,0.407,0.337
6,0.92,0.648,0.053,0.383,0.265,0.646,0.428,0.423
7,0.914,0.648,0.055,0.417,0.28,0.677,0.418,0.417
8,0.917,0.649,0.041,0.39,0.311,0.591,0.401,0.47
9,0.917,0.647,0.058,0.411,0.319,0.579,0.405,0.43
10,0.918,0.649,0.035,0.413,0.295,0.572,0.414,0.467
11,0.914,0.648,0.039,0.406,0.29,0.626,0.395,0.418
12,0.913,0.647,0.038,0.412,0.253,0.683,0.408,0.459
13,0.927,0.648,0.055,0.435,0.31,0.67,0.376,0.423
14,0.921,0.649,0.086,0.445,0.307,0.664,0.405,0.441
15,0.915,0.647,0.047,0.465,0.288,0.638,0.43,0.335
16,0.912,0.648,0.052,0.44,0.26,0.584,0.413,0.398
17,0.916,0.648,0.045,0.492,0.252,0.603,0.423,0.488
18,0.918,0.648,0.046,0.45,0.295,0.619,0.384,0.432
19,0.92,0.647,0.051,0.477,0.282,0.618,0.419,0.434
20,0.916,0.648,0.049,0.448,0.265,0.613,0.424,0.384
21,0.911,0.648,0.049,0.464,0.268,0.63,0.404,0.324
22,0.926,0.648,0.07,0.44,0.283,0.64,0.435,0.431
23,0.913,0.645,0.042,0.448,0.297,0.638,0.431,0.502
24,0.929,0.672,0.056,0.361,0.303,0.625,0.424,0.392
25,1.417,1.363,0.12,0.494,0.31,1.682,0.781,1.328
26,2.096,1.894,0.284,0.775,0.346,3.169,1.414,2.493
27,2.418,2.059,0.348,1.024,0.478,3.547,1.798,2.926
28,2.605,2.116,0.357,1.204,0.492,3.683,2.005,3.2
29,2.877,2.159,0.422,1.573,0.63,3.753,2.375,3.336
30,3.198,2.188,0.994,2.194,0.885,3.957,2.855,3.732
31,3.571,2.208,3.773,3.319,1.327,4.331,3.451,4.626
32,4.126,2.221,4.676,4.678,2.136,4.836,4.279,4.876
33,4.61,2.229,4.748,4.925,3.832,4.933,4.802,4.902
34,4.836,2.232,4.739,4.941,4.706,4.94,4.93,4.901
35,4.906,2.232,4.725,4.933,4.862,4.937,4.951,4.909
36,4.926,2.231,4.707,4.927,4.872,4.935,4.956,4.911
37,4.931,2.229,4.682,4.92,4.864,4.933,4.957,4.901
38,4.932,2.227,4.667,4.917,4.853,4.93,4.958,4.89
39,4.932,2.223,4.642,4.916,4.839,4.93,4.957,4.89
40,4.932,2.218,4.635,4.908,4.831,4.925,4.957,4.883
41,4.932,2.213,4.614,4.899,4.818,4.925,4.957,4.881
42,4.931,2.207,4.608,4.891,4.809,4.92,4.956,4.899
43,4.932,2.201,4.596,4.902,4.795,4.926,4.955,4.877
44,4.931,2.195,4.583,4.892,4.791,4.909,4.955,4.866
45,4.931,2.188,4.578,4.887,4.787,4.91,4.954,4.872
46,4.929,2.182,4.567,4.883,4.788,4.914,4.954,4.875
47,4.929,2.175,4.577,4.878,4.777,4.913,4.952,4.875
48,4.929,2.168,4.57,4.884,4.772,4.912,4.953,4.859
49,4.928,2.162,4.568,4.879,4.775,4.908,4.953,4.857
50,4.928,2.154,4.56,4.88,4.768,4.909,4.953,4.866
51,4.928,2.148,4.567,4.871,4.765,4.91,4.952,4.865
52,4.927,2.142,4.56,4.878,4.762,4.905,4.953,4.86
53,4.927,2.135,4.573,4.875,4.759,4.91,4.95,4.87
54,4.927,2.129,4.562,4.884,4.762,4.902,4.952,4.855
55,4.927,2.123,4.561,4.881,4.766,4.897,4.951,4.856
56,4.926,2.116,4.561,4.878,4.763,4.903,4.951,4.865
57,4.927,2.111,4.563,4.879,4.762,4.905,4.952,4.86
58,4.927,2.106,4.571,4.876,4.764,4.907,4.951,4.855
59,4.927,2.1,4.563,4.87,4.775,4.899,4.952,4.864
60,4.926,2.095,4.561,4.875,4.775,4.899,4.951,4.857
61,4.927,2.09,4.574,4.862,4.764,4.898,4.951,4.87
62,4.927,2.085,4.577,4.873,4.766,4.895,4.952,4.852
63,4.927,2.079,4.575,4.868,4.763,4.9,4.95,4.863
64,4.927,2.075,4.579,4.876,4.762,4.904,4.951,4.863
65,4.927,2.071,4.575,4.876,4.767,4.889,4.951,4.844
66,4.927,2.066,4.571,4.873,4.767,4.899,4.952,4.84
67,4.927,2.062,4.572,4.874,4.773,4.893,4.952,4.854
68,4.927,2.058,4.576,4.87,4.77,4.89,4.951,4.852
69,4.927,2.055,4.574,4.861,4.768,4.891,4.949,4.855
70,4.927,2.051,4.576,4.87,4.774,4.889,4.952,4.838
71,4.927,2.047,4.581,4.874,4.767,4.894,4.951,4.837
72,4.927,2.042,4.58,4.876,4.764,4.892,4.951,4.841
73,4.927,2.04,4.582,4.87,4.771,4.889,4.951,4.843
74,4.927,2.036,4.577,4.878,4.768,4.895,4.952,4.854
75,4.927,2.032,4.578,4.873,4.769,4.891,4.951,4.842
76,4.927,2.028,4.578,4.868,4.769,4.897,4.951,4.853
77,4.926,2.027,4.574,4.874,4.769,4.886,4.952,4.833
78,4.927,2.023,4.58,4.88,4.762,4.893,4.952,4.839
79,4.927,2.02,4.585,4.862,4.768,4.889,4.951,4.838
80,4.927,2.017,4.589,4.875,4.769,4.895,4.951,4.855
81,4.927,2.013,4.587,4.87,4.766,4.891,4.951,4.846
82,4.927,2.012,4.579,4.87,4.769,4.889,4.951,4.853
83,4.927,2.009,4.577,4.868,4.763,4.892,4.952,4.861
84,4.927,2.006,4.585,4.871,4.767,4.895,4.951,4.858
85,4.927,2.003,4.574,4.866,4.773,4.889,4.952,4.859
86,4.926,2.002,4.577,4.872,4.771,4.886,4.953,4.839
87,4.927,1.998,4.579,4.872,4.761,4.888,4.951,4.852
88,4.926,1.996,4.584,4.857,4.762,4.894,4.951,4.855
89,4.926,1.993,4.588,4.87,4.762,4.887,4.952,4.851
90,4.926,1.992,4.581,4.869,4.762,4.886,4.951,4.845
91,4.926,1.988,4.582,4.864,4.76,4.887,4.951,4.842
92,4.926,1.986,4.583,4.864,4.764,4.887,4.951,4.842
93,4.926,1.984,4.586,4.867,4.77,4.886,4.951,4.851
94,4.926,1.983,4.576,4.874,4.763,4.891,4.951,4.832
95,4.926,1.979,4.582,4.862,4.77,4.884,4.951,4.857
96,4.927,1.978,4.585,4.871,4.764,4.887,4.951,4.838
97,4.927,1.974,4.584,4.864,4.767,4.89,4.951,4.848
98,4.926,1.972,4.587,4.858,4.766,4.886,4.951,4.863
99,4.926,1.971,4.579,4.871,4.766,4.889,4.951,4.843
100,4.927,1.969,4.584,4.866,4.762,4.89,4.951,4.85
101,4.927,1.968,4.585,4.864,4.765,4.886,4.951,4.858
102,4.926,1.967,4.582,4.868,4.764,4.888,4.951,4.849
103,4.926,1.964,4.585,4.864,4.758,4.886,4.951,4.839
104,4.926,1.962,4.583,4.864,4.755,4.882,4.95,4.845
105,4.926,1.961,4.58,4.871,4.757,4.886,4.951,4.84
106,4.926,1.958,4.583,4.869,4.762,4.886,4.952,4.846
107,4.926,1.957,4.582,4.858,4.757,4.883,4.951,4.843
108,4.926,1.954,4.578,4.87,4.753,4.883,4.951,4.839
109,4.926,1.954,4.583,4.868,4.758,4.886,4.951,4.844
110,4.926,1.953,4.582,4.865,4.755,4.885,4.95,4.85
111,4.925,1.95,4.582,4.871,4.754,4.892,4.95,4.837
112,4.926,1.948,4.569,4.853,4.753,4.88,4.951,4.823
113,4.925,1.942,4.574,4.863,4.753,4.876,4.951,4.843
114,4.923,1.918,4.59,4.858,4.752,4.873,4.95,4.821
115,4.922,1.891,4.633,4.843,4.766,4.851,4.952,4.802
116,4.922,1.86,4.717,4.842,4.779,4.831,4.949,4.777
117,4.919,1.825,4.734,4.813,4.804,4.74,4.947,4.686
118,4.912,1.787,3.495,4.792,4.834,4.358,4.941,4.414
119,4.895,1.748,1.333,4.744,4.783,3.738,4.922,3.581
120,4.846,1.712,0.823,4.332,3.817,3.484,4.856,2.999
121,4.651,1.674,0.701,3.51,2.392,3.262,4.421,2.772
122,4.07,1.635,0.594,3.26,2.147,3.085,3.708,2.536
123,3.668,1.599,0.497,3.087,1.961,2.92,3.237,2.42
124,3.46,1.564,0.434,2.833,1.795,2.717,2.871,2.26
125,3.293,1.529,0.332,2.617,1.641,2.506,2.611,2.056
126,3.143,1.494,0.3,2.452,1.475,2.364,2.423,1.901
127,3.004,1.461,0.262,2.284,1.323,2.185,2.299,1.744
128,2.873,1.427,0.197,2.101,1.195,2.022,2.165,1.603
129,2.754,1.395,0.167,1.963,1.07,1.911,2.013,1.469
130,2.647,1.358,0.175,1.858,0.994,1.71,1.874,1.298
131,2.548,1.326,0.176,1.737,0.913,1.635,1.777,1.228
132,2.458,1.294,0.146,1.602,0.849,1.509,1.741,1.162
133,2.378,1.263,0.144,1.551,0.822,1.42,1.632,1.114
134,2.31,1.233,0.118,1.46,0.734,1.345,1.566,1.035
135,2.235,1.202,0.123,1.367,0.672,1.25,1.475,0.934
136,2.181,1.172,0.117,1.318,0.607,1.171,1.448,0.846
137,2.13,1.145,0.099,1.226,0.628,1.147,1.426,0.814
138,2.076,1.118,0.1,1.218,0.589,1.115,1.363,0.809
139,2.023,1.093,0.089,1.153,0.569,1.039,1.35,0.699
140,1.983,1.069,0.084,1.114,0.543,1.028,1.305,0.668
141,1.936,1.046,0.077,1.08,0.518,0.941,1.272,0.64
142,1.898,1.022,0.088,1.049,0.519,0.951,1.206,0.599
143,1.868,1.006,0.104,1.035,0.482,0.952,1.185,0.598
144,1.83,0.988,0.091,1.031,0.487,0.932,1.166,0.567
145,1.805,0.973,0.071,1.024,0.466,0.836,1.133,0.554
146,1.775,0.956,0.081,0.965,0.438,0.845,1.138,0.595
147,1.743,0.941,0.073,0.953,0.458,0.823,1.071,0.612
148,1.72,0.927,0.069,0.89,0.412,0.795,1.09,0.597
149,1.705,0.916,0.08,0.922,0.407,0.746,1.05,0.551
150,1.682,0.906,0.064,0.874,0.393,0.795,1.048,0.514
151,1.665,0.897,0.049,0.868,0.414,0.738,1.054,0.596
152,1.64,0.887,0.079,0.865,0.397,0.728,1.024,0.563
153,1.624,0.876,0.118,0.867,0.403,0.666,1.012,0.591
154,1.608,0.87,0.065,0.829,0.393,0.758,1.002,0.532
155,1.589,0.862,0.111,0.858,0.343,0.748,0.962,0.518
156,1.574,0.856,0.067,0.801,0.374,0.699,0.964,0.464
157,1.559,0.849,0.093,0.786,0.387,0.679,0.958,0.508
158,1.553,0.844,0.066,0.816,0.383,0.724,0.938,0.504
159,1.53,0.838,0.088,0.767,0.359,0.694,0.912,0.478
160,1.524,0.833,0.057,0.79,0.352,0.704,0.912,0.441
161,1.512,0.83,0.083,0.747,0.35,0.642,0.896,0.479
162,1.501,0.825,0.082,0.703,0.337,0.663,0.878,0.491
163,1.503,0.822,0.074,0.742,0.315,0.679,0.884,0.412
164,1.483,0.817,0.06,0.724,0.352,0.667,0.898,0.461
165,1.479,0.812,0.068,0.725,0.34,0.69,0.9,0.454
166,1.466,0.81,0.082,0.706,0.288,0.66,0.861,0.482
167,1.457,0.807,0.072,0.694,0.331,0.63,0.873,0.526
168,1.451,0.803,0.077,0.689,0.313,0.647,0.879,0.504
169,1.445,0.801,0.055,0.702,0.304,0.679,0.871,0.476
170,1.436,0.8,0.053,0.679,0.307,0.622,0.793,0.456
171,1.423,0.796,0.071,0.702,0.301,0.622,0.82,0.479
172,1.419,0.794,0.106,0.668,0.281,0.655,0.803,0.452
173,1.416,0.791,0.058,0.693,0.308,0.642,0.843,0.403
174,1.408,0.788,0.062,0.684,0.318,0.616,0.823,0.476
175,1.398,0.787,0.074,0.672,0.282,0.643,0.819,0.391
176,1.4,0.786,0.073,0.683,0.313,0.616,0.788,0.424
177,1.391,0.782,0.062,0.678,0.308,0.652,0.8,0.442
178,1.389,0.783,0.066,0.677,0.275,0.607,0.826,0.446
179,1.376,0.778,0.066,0.656,0.33,0.636,0.804,0.478
180,1.375,0.777,0.061,0.667,0.326,0.618,0.78,0.4
181,1.371,0.775,0.03,0.661,0.338,0.595,0.813,0.375
182,1.362,0.774,0.068,0.661,0.305,0.591,0.756,0.408
183,1.365,0.773,0.061,0.62,0.329,0.602,0.75,0.359
184,1.358,0.77,0.097,0.643,0.329,0.61,0.778,0.391
185,1.358,0.768,0.059,0.707,0.327,0.568,0.757,0.463
186,1.355,0.77,0.082,0.653,0.298,0.614,0.767,0.512
187,1.345,0.766,0.078,0.551,0.309,0.587,0.689,0.495
188,1.348,0.764,0.059,0.62,0.295,0.579,0.741,0.388
189,1.338,0.764,0.067,0.575,0.306,0.551,0.746,0.415
190,1.334,0.763,0.051,0.645,0.275,0.593,0.757,0.437
191,1.334,0.76,0.042,0.647,0.301,0.583,0.73,0.452
192,1.327,0.757,0.062,0.669,0.303,0.632,0.7,0.352
193,1.322,0.759,0.067,0.544,0.289,0.616,0.723,0.44
194,1.321,0.757,0.064,0.62,0.271,0.573,0.746,0.412
195,1.315,0.753,0.056,0.641,0.282,0.571,0.749,0.401
196,1.313,0.752,0.06,0.662,0.273,0.609,0.71,0.333
197,1.309,0.752,0.06,0.61,0.294,0.564,0.739,0.412
198,1.309,0.749,0.047,0.643,0.266,0.531,0.723,0.406
199,1.305,0.748,0.057,0.649,0.284,0.571,0.718,0.41
200,1.298,0.746,0.047,0.627,0.304,0.58,0.717,0.434
201,1.295,0.747,0.083,0.609,0.273,0.505,0.723,0.422
202,1.295,0.745,0.057,0.607,0.274,0.605,0.677,0.42
