,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.153,0.635,0.234,0.723,0.375,0.529,0.69,0.298
1,1.152,0.635,0.231,0.787,0.386,0.602,0.712,0.293
2,1.152,0.633,0.251,0.737,0.348,0.526,0.661,0.304
3,1.157,0.633,0.238,0.773,0.394,0.579,0.669,0.346
4,1.159,0.634,0.224,0.768,0.391,0.561,0.698,0.348
5,1.153,0.632,0.212,0.733,0.384,0.57,0.66,0.302
6,1.149,0.632,0.215,0.738,0.331,0.578,0.683,0.288
7,1.146,0.631,0.235,0.78,0.363,0.586,0.711,0.303
8,1.15,0.633,0.249,0.786,0.382,0.543,0.686,0.342
9,1.151,0.633,0.223,0.746,0.402,0.597,0.652,0.316
10,1.151,0.632,0.232,0.747,0.387,0.571,0.702,0.258
11,1.151,0.632,0.21,0.778,0.392,0.596,0.714,0.288
12,1.153,0.633,0.233,0.747,0.394,0.599,0.699,0.331
13,1.147,0.632,0.236,0.768,0.358,0.583,0.647,0.286
14,1.147,0.633,0.222,0.776,0.39,0.506,0.681,0.282
15,1.155,0.63,0.241,0.729,0.316,0.504,0.717,0.24
16,1.154,0.631,0.235,0.781,0.379,0.526,0.686,0.255
17,1.154,0.634,0.25,0.76,0.386,0.559,0.703,0.318
18,1.15,0.633,0.228,0.765,0.394,0.542,0.705,0.31
19,1.151,0.633,0.241,0.767,0.373,0.606,0.707,0.264
20,1.145,0.631,0.232,0.756,0.375,0.59,0.71,0.331
21,1.148,0.633,0.234,0.756,0.37,0.607,0.709,0.292
22,1.156,0.633,0.24,0.786,0.43,0.569,0.699,0.277
23,1.154,0.634,0.246,0.76,0.388,0.589,0.703,0.275
24,1.165,0.64,0.251,0.772,0.41,0.594,0.683,0.299
25,1.639,1.129,0.441,0.841,0.684,1.088,1.012,0.681
26,2.353,1.798,0.994,1.039,0.97,2.267,1.688,1.688
27,2.814,2.114,1.341,1.405,1.167,3.147,2.217,2.533
28,3.132,2.271,1.462,1.808,1.347,3.655,2.63,3.105
29,3.348,2.357,1.561,2.197,1.518,3.942,2.924,3.413
30,3.506,2.419,1.75,2.535,1.752,4.048,3.207,3.567
31,3.632,2.463,1.972,2.972,1.94,4.098,3.43,3.613
32,3.74,2.498,2.262,3.392,2.213,4.16,3.657,3.581
33,3.834,2.525,2.657,3.729,2.512,4.185,3.83,3.601
34,3.934,2.55,3.452,4.013,2.82,4.224,3.969,3.882
35,4.025,2.569,4.611,4.238,3.139,4.275,4.121,4.751
36,4.122,2.586,4.887,4.457,3.462,4.36,4.274,4.924
37,4.231,2.601,4.936,4.713,4.048,4.737,4.534,4.944
38,4.42,2.615,4.944,4.919,4.622,4.947,4.747,4.952
39,4.633,2.629,4.946,4.976,4.861,4.971,4.858,4.948
40,4.754,2.641,4.946,4.986,4.927,4.976,4.913,4.959
41,4.827,2.652,4.946,4.988,4.947,4.974,4.941,4.956
42,4.872,2.665,4.945,4.991,4.954,4.973,4.955,4.96
43,4.897,2.679,4.945,4.992,4.956,4.974,4.962,4.958
44,4.912,2.69,4.943,4.994,4.958,4.971,4.966,4.953
45,4.921,2.695,4.94,4.992,4.96,4.971,4.968,4.957
46,4.926,2.705,4.939,4.994,4.963,4.971,4.97,4.957
47,4.93,2.714,4.939,4.992,4.962,4.97,4.97,4.954
48,4.931,2.724,4.937,4.993,4.963,4.969,4.971,4.958
49,4.932,2.735,4.938,4.994,4.963,4.973,4.971,4.955
50,4.932,2.746,4.937,4.993,4.964,4.971,4.972,4.955
51,4.931,2.754,4.937,4.993,4.964,4.97,4.972,4.954
52,4.931,2.762,4.936,4.993,4.964,4.97,4.974,4.957
53,4.932,2.769,4.935,4.994,4.965,4.971,4.972,4.956
54,4.931,2.776,4.935,4.993,4.965,4.97,4.971,4.957
55,4.93,2.782,4.934,4.993,4.964,4.971,4.972,4.957
56,4.929,2.79,4.932,4.992,4.965,4.969,4.972,4.957
57,4.928,2.796,4.932,4.994,4.965,4.971,4.971,4.959
58,4.928,2.802,4.931,4.993,4.965,4.968,4.971,4.96
59,4.926,2.807,4.931,4.993,4.965,4.971,4.971,4.962
60,4.928,2.812,4.932,4.993,4.964,4.97,4.972,4.957
61,4.927,2.817,4.929,4.994,4.965,4.971,4.971,4.957
62,4.927,2.817,4.927,4.993,4.965,4.971,4.971,4.959
63,4.926,2.82,4.93,4.993,4.964,4.973,4.972,4.956
64,4.926,2.827,4.928,4.993,4.964,4.972,4.972,4.953
65,4.925,2.835,4.927,4.993,4.964,4.972,4.971,4.961
66,4.924,2.839,4.927,4.993,4.964,4.97,4.971,4.957
67,4.923,2.842,4.931,4.992,4.965,4.97,4.971,4.957
68,4.922,2.841,4.927,4.993,4.963,4.971,4.97,4.958
69,4.922,2.845,4.925,4.993,4.963,4.97,4.972,4.958
70,4.922,2.852,4.924,4.992,4.962,4.969,4.972,4.955
71,4.922,2.854,4.924,4.992,4.964,4.969,4.971,4.959
72,4.922,2.856,4.928,4.993,4.963,4.971,4.97,4.953
73,4.922,2.858,4.924,4.993,4.964,4.968,4.971,4.956
74,4.922,2.861,4.924,4.992,4.963,4.97,4.971,4.958
75,4.921,2.862,4.922,4.992,4.963,4.972,4.971,4.959
76,4.921,2.866,4.922,4.992,4.963,4.969,4.971,4.957
77,4.921,2.866,4.923,4.991,4.963,4.966,4.971,4.953
78,4.921,2.868,4.922,4.993,4.962,4.971,4.971,4.956
79,4.92,2.87,4.924,4.992,4.962,4.973,4.97,4.96
80,4.92,2.871,4.922,4.992,4.962,4.972,4.97,4.96
81,4.919,2.873,4.921,4.993,4.961,4.971,4.971,4.955
82,4.919,2.876,4.922,4.992,4.961,4.97,4.97,4.954
83,4.918,2.879,4.92,4.993,4.962,4.972,4.97,4.956
84,4.917,2.885,4.918,4.992,4.961,4.97,4.97,4.956
85,4.917,2.886,4.92,4.992,4.961,4.972,4.97,4.956
86,4.917,2.886,4.92,4.992,4.961,4.97,4.971,4.959
87,4.917,2.882,4.917,4.992,4.96,4.971,4.97,4.957
88,4.917,2.885,4.918,4.991,4.96,4.967,4.97,4.955
89,4.916,2.886,4.918,4.991,4.961,4.971,4.97,4.959
90,4.916,2.886,4.918,4.991,4.959,4.969,4.969,4.957
91,4.916,2.887,4.917,4.991,4.96,4.969,4.97,4.959
92,4.916,2.89,4.916,4.991,4.962,4.969,4.97,4.955
93,4.916,2.89,4.918,4.991,4.962,4.969,4.969,4.95
94,4.916,2.891,4.917,4.992,4.96,4.969,4.969,4.956
95,4.916,2.89,4.919,4.989,4.963,4.968,4.969,4.956
96,4.915,2.892,4.918,4.991,4.959,4.971,4.969,4.956
97,4.913,2.893,4.917,4.991,4.96,4.97,4.968,4.959
98,4.913,2.895,4.917,4.99,4.96,4.97,4.968,4.962
99,4.913,2.895,4.912,4.991,4.958,4.969,4.97,4.957
100,4.912,2.894,4.916,4.991,4.96,4.97,4.969,4.953
101,4.912,2.895,4.914,4.991,4.959,4.972,4.969,4.953
102,4.912,2.896,4.915,4.991,4.958,4.967,4.968,4.954
103,4.912,2.895,4.915,4.99,4.959,4.97,4.967,4.96
104,4.912,2.895,4.913,4.99,4.958,4.97,4.968,4.956
105,4.912,2.896,4.913,4.991,4.959,4.97,4.968,4.957
106,4.912,2.896,4.912,4.991,4.958,4.968,4.969,4.953
107,4.912,2.896,4.916,4.991,4.957,4.969,4.967,4.95
108,4.912,2.903,4.911,4.991,4.957,4.966,4.968,4.952
109,4.912,2.905,4.91,4.991,4.958,4.968,4.968,4.957
110,4.912,2.909,4.911,4.989,4.958,4.97,4.969,4.958
111,4.912,2.91,4.91,4.99,4.958,4.969,4.968,4.957
112,4.912,2.911,4.913,4.991,4.958,4.97,4.966,4.957
113,4.911,2.907,4.906,4.989,4.958,4.969,4.967,4.953
114,4.906,2.867,4.902,4.989,4.956,4.955,4.966,4.94
115,4.896,2.794,4.894,4.99,4.955,4.935,4.961,4.91
116,4.882,2.714,4.885,4.989,4.955,4.839,4.953,4.88
117,4.857,2.637,4.837,4.988,4.941,4.241,4.94,4.651
118,4.801,2.554,4.749,4.988,4.88,3.834,4.908,3.69
119,4.764,2.471,4.345,4.986,4.373,3.721,4.872,3.286
120,4.727,2.387,2.74,4.972,3.156,3.676,4.816,3.257
121,4.637,2.3,2.054,4.84,2.743,3.596,4.667,3.214
122,4.442,2.218,1.819,4.195,2.466,3.465,4.377,3.113
123,4.177,2.136,1.642,3.833,2.233,3.257,4.155,3.032
124,3.972,2.054,1.518,3.667,2.057,2.972,3.956,2.826
125,3.824,1.973,1.409,3.437,1.896,2.736,3.732,2.64
126,3.698,1.894,1.296,3.214,1.738,2.555,3.555,2.497
127,3.589,1.819,1.205,3.022,1.606,2.363,3.417,2.336
128,3.489,1.749,1.146,2.901,1.488,2.25,3.304,2.134
129,3.396,1.685,1.066,2.757,1.442,2.11,3.186,1.909
130,3.313,1.624,1.014,2.585,1.335,2.015,3.067,1.804
131,3.228,1.564,0.976,2.483,1.265,1.934,2.925,1.659
132,3.154,1.514,0.932,2.403,1.215,1.875,2.868,1.59
133,3.092,1.466,0.926,2.334,1.173,1.795,2.775,1.506
134,3.034,1.422,0.931,2.2,1.13,1.702,2.677,1.405
135,2.979,1.382,0.834,2.124,1.092,1.665,2.642,1.306
136,2.921,1.346,0.827,2.07,1.082,1.61,2.582,1.255
137,2.872,1.312,0.849,1.967,1.035,1.571,2.517,1.212
138,2.827,1.279,0.82,1.952,0.957,1.43,2.442,1.187
139,2.78,1.25,0.793,1.86,0.996,1.499,2.411,1.178
140,2.74,1.223,0.784,1.871,0.979,1.445,2.33,1.046
141,2.7,1.197,0.765,1.798,0.944,1.356,2.295,1.015
142,2.662,1.176,0.74,1.77,0.951,1.353,2.28,0.986
143,2.627,1.154,0.735,1.755,0.975,1.32,2.224,0.948
144,2.589,1.135,0.712,1.708,0.9,1.2,2.175,0.922
145,2.551,1.118,0.709,1.707,0.914,1.222,2.146,0.885
146,2.524,1.103,0.694,1.696,0.878,1.233,2.136,0.896
147,2.486,1.089,0.677,1.649,0.91,1.152,2.077,0.834
148,2.453,1.074,0.676,1.665,0.851,1.148,2.093,0.806
149,2.419,1.062,0.677,1.6,0.824,1.144,2.077,0.802
150,2.393,1.051,0.662,1.559,0.819,1.112,2.02,0.792
151,2.363,1.038,0.652,1.57,0.848,1.078,1.988,0.735
152,2.335,1.029,0.682,1.527,0.853,1.025,1.947,0.707
153,2.312,1.02,0.669,1.59,0.805,1.052,1.947,0.666
154,2.287,1.011,0.648,1.517,0.788,1.022,1.901,0.627
155,2.267,1.004,0.621,1.54,0.791,1.011,1.88,0.644
156,2.248,0.996,0.641,1.504,0.789,0.985,1.846,0.642
157,2.224,0.99,0.586,1.446,0.756,0.949,1.844,0.586
158,2.204,0.984,0.628,1.461,0.767,0.938,1.791,0.57
159,2.184,0.978,0.631,1.442,0.751,0.927,1.757,0.603
160,2.164,0.972,0.61,1.459,0.74,0.909,1.733,0.546
161,2.146,0.966,0.577,1.437,0.721,0.895,1.734,0.479
162,2.132,0.961,0.586,1.472,0.699,0.897,1.752,0.527
163,2.116,0.956,0.602,1.432,0.682,0.88,1.669,0.524
164,2.099,0.952,0.58,1.415,0.696,0.881,1.703,0.466
165,2.087,0.948,0.574,1.395,0.653,0.864,1.662,0.48
166,2.074,0.943,0.601,1.393,0.661,0.875,1.661,0.481
167,2.058,0.94,0.584,1.401,0.693,0.824,1.643,0.481
168,2.048,0.937,0.584,1.365,0.641,0.844,1.681,0.502
169,2.034,0.933,0.59,1.326,0.612,0.836,1.648,0.475
170,2.023,0.929,0.582,1.311,0.681,0.851,1.639,0.433
171,2.013,0.926,0.558,1.292,0.656,0.851,1.606,0.448
172,2.0,0.923,0.579,1.347,0.629,0.855,1.606,0.377
173,1.984,0.921,0.544,1.343,0.523,0.888,1.646,0.457
174,1.98,0.92,0.546,1.304,0.59,0.796,1.576,0.434
175,1.966,0.916,0.561,1.283,0.562,0.802,1.585,0.421
176,1.956,0.913,0.566,1.294,0.579,0.817,1.575,0.403
177,1.948,0.909,0.572,1.282,0.535,0.815,1.564,0.399
