,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.623,0.422,0.042,0.201,0.161,0.202,0.308,0.185
1,0.625,0.423,0.029,0.182,0.13,0.216,0.272,0.177
2,0.626,0.423,0.043,0.186,0.122,0.189,0.298,0.183
3,0.624,0.422,0.023,0.199,0.098,0.236,0.236,0.177
4,0.618,0.422,0.04,0.194,0.142,0.231,0.269,0.138
5,0.628,0.424,0.033,0.262,0.104,0.244,0.246,0.181
6,0.639,0.422,0.03,0.223,0.12,0.268,0.27,0.148
7,0.63,0.423,0.05,0.202,0.131,0.207,0.279,0.151
8,0.626,0.422,0.038,0.201,0.113,0.218,0.226,0.1
9,0.621,0.422,0.045,0.221,0.107,0.201,0.236,0.14
10,0.621,0.421,0.024,0.246,0.096,0.222,0.258,0.176
11,0.617,0.422,0.028,0.21,0.083,0.248,0.256,0.17
12,0.625,0.422,0.04,0.215,0.096,0.248,0.263,0.114
13,0.627,0.423,0.032,0.254,0.102,0.227,0.259,0.118
14,0.625,0.421,0.023,0.213,0.095,0.252,0.235,0.212
15,0.621,0.422,0.049,0.234,0.09,0.191,0.258,0.197
16,0.632,0.421,0.025,0.252,0.122,0.235,0.266,0.147
17,0.626,0.421,0.036,0.254,0.102,0.22,0.229,0.12
18,0.621,0.421,0.026,0.228,0.104,0.228,0.233,0.119
19,0.625,0.421,0.022,0.231,0.09,0.258,0.248,0.176
20,0.621,0.422,0.026,0.219,0.074,0.227,0.242,0.155
21,0.624,0.422,0.037,0.224,0.149,0.246,0.248,0.144
22,0.633,0.421,0.058,0.185,0.114,0.21,0.24,0.19
23,0.619,0.422,0.037,0.21,0.121,0.246,0.238,0.203
24,0.622,0.42,0.045,0.221,0.111,0.244,0.239,0.191
25,0.625,0.422,0.042,0.19,0.088,0.222,0.269,0.115
26,0.618,0.421,0.025,0.227,0.115,0.245,0.27,0.164
27,0.622,0.421,0.035,0.253,0.107,0.258,0.246,0.171
28,0.631,0.421,0.02,0.222,0.077,0.213,0.285,0.155
29,0.633,0.428,0.028,0.222,0.085,0.203,0.258,0.101
30,0.659,0.563,0.032,0.213,0.096,0.211,0.291,0.163
